Time [s],Value,Parity Error,Framing Error
0.720791,'0',,Error
0.840717,A,,
0.840975,L,,
0.841234,~,,
0.841493,R,,
0.841752,E,,
0.842011,A,,
0.84227,D,,
0.842529,Y,,
0.842788,\r,,
0.843047,\n,,
1.129762,S,,
1.130021,W,,
1.130279,D,,
1.130538,A,,
1.130797,0,,
1.131056,0,,
1.131315,0,,
1.131574,0,,
1.131833,0,,
1.132092,0,,
1.132351,0,,
1.13261,0,,
1.132869,5,,
1.133127,3,,
1.133386,4,,
1.133645,B,,
1.133904,1,,
1.134163,F,,
1.134422,0,,
1.134681,0,,
1.13494,8,,
1.135199,0,,
1.135458,0,,
1.135717,1,,
1.135976,0,,
1.136234,0,,
1.136493,\r,,
1.136752,\n,,
1.637547,S,,
1.637806,W,,
1.638065,D,,
1.638324,V,,
1.638583,5,,
1.638842,3,,
1.6391,4,,
1.639359,A,,
1.639618,1,,
1.639877,F,,
1.640136,0,,
1.640395,0,,
1.640654,0,,
1.640913,1,,
1.641172,0,,
1.641431,0,,
1.64169,\r,,
1.641948,\n,,
1.647505,S,,
1.647764,W,,
1.648023,D,,
1.648282,V,,
1.648541,5,,
1.6488,3,,
1.649059,4,,
1.649318,C,,
1.649577,1,,
1.649835,F,,
1.650094,0,,
1.650353,0,,
1.650612,0,,
1.650871,1,,
1.65113,0,,
1.651389,0,,
1.651648,\r,,
1.651907,\n,,
1.657464,S,,
1.657722,W,,
1.657981,D,,
1.65824,V,,
1.658499,5,,
1.658758,3,,
1.659017,4,,
1.659276,B,,
1.659535,1,,
1.659794,F,,
1.660053,0,,
1.660312,0,,
1.66057,0,,
1.66083,1,,
1.661088,0,,
1.661347,0,,
1.661606,\r,,
1.661865,\n,,
4.256515,S,,
4.256774,W,,
4.257033,D,,
4.257292,V,,
4.25755,5,,
4.257809,4,,
4.258068,4,,
4.258327,B,,
4.258586,1,,
4.258845,F,,
4.259104,0,,
4.259363,0,,
4.259622,0,,
4.259881,1,,
4.26014,0,,
4.260399,0,,
4.260657,\r,,
4.260916,\n,,
4.266473,S,,
4.266732,W,,
4.266991,D,,
4.26725,V,,
4.267509,5,,
4.267768,2,,
4.268027,4,,
4.268285,B,,
4.268544,1,,
4.268803,F,,
4.269062,0,,
4.269321,0,,
4.26958,0,,
4.269839,1,,
4.270098,0,,
4.270357,0,,
4.270616,\r,,
4.270875,\n,,
4.276431,S,,
4.27669,W,,
4.276949,D,,
4.277208,V,,
4.277467,5,,
4.277726,3,,
4.277985,4,,
4.278244,B,,
4.278503,1,,
4.278762,F,,
4.279021,0,,
4.279279,0,,
4.279538,0,,
4.279797,1,,
4.280056,0,,
4.280315,0,,
4.280574,\r,,
4.280833,\n,,
