Time [s],Value,Parity Error,Framing Error
1.116414,A,,
1.116674,L,,
1.116934,~,,
1.117194,R,,
1.117454,E,,
1.117714,A,,
1.117974,D,,
1.118234,Y,,
1.394945,L,,
1.395205,C,,
1.395465,S,,
1.395725,A,,
1.395985,'250',,
1.396245,Q,,
1.396505,'160',,
1.396765,'0',,
1.397025,\n,,
1.397285,'0',,
1.397545,'0',,
1.397805,'0',,
1.398065,\n,,
1.398326,'248',,
1.398586,'31',,
1.398846,H,,
1.399106,'31',,
1.399366,'0',,
1.399626,'0',,
1.399886,'0',,
1.400146,'0',,
1.400406,'0',,
1.400666,'169',,
1.400926,'154',,
1.401186,'169',,
1.401446,'155',,
1.401706,'225',,
1.401966,'142',,
1.402226,'176',,
1.402486,'139',,
1.402746,'19',,
1.403006,'140',,
1.403266,'4',,
1.403526,'0',,
1.427777,L,,
1.428037,C,,
1.428297,S,,
1.428557,A,,
1.428817,'250',,
1.429077,Q,,
1.429337,'160',,
1.429597,'0',,
1.429857,\n,,
1.430117,'0',,
1.430377,'1',,
1.430637,'0',,
1.430897,\n,,
1.431157,'248',,
1.431417,'31',,
1.431677,H,,
1.431937,'31',,
1.432197,'0',,
1.432457,'0',,
1.432717,'0',,
1.432977,'0',,
1.433237,'0',,
1.433497,'169',,
1.433757,'154',,
1.434017,'169',,
1.434277,'155',,
1.434537,'225',,
1.434797,'142',,
1.435057,'176',,
1.435317,'139',,
1.435578,'19',,
1.435838,'140',,
1.436098,'4',,
1.436358,'8',,
1.616833,L,,
1.617093,C,,
1.617353,S,,
1.617613,A,,
1.617873,'250',,
1.618133,Q,,
1.618393,'160',,
1.618653,'0',,
1.618913,\n,,
1.619173,'0',,
1.619433,'1',,
1.619694,'0',,
1.619954,\n,,
1.620214,'248',,
1.620474,'31',,
1.620734,H,,
1.620994,'31',,
1.621254,'0',,
1.621514,'0',,
1.621774,'0',,
1.622034,'0',,
1.622294,'0',,
1.622554,'169',,
1.622814,'154',,
1.623074,'169',,
1.623334,'155',,
1.623594,'225',,
1.623854,'142',,
1.624114,'176',,
1.624374,'139',,
1.624634,'19',,
1.624894,'140',,
1.625154,'4',,
1.625414,'8',,
1.63771,L,,
1.63797,C,,
1.63823,S,,
1.63849,A,,
1.63875,'250',,
1.63901,Q,,
1.63927,'160',,
1.63953,'0',,
1.63979,\n,,
1.64005,'0',,
1.64031,'1',,
1.64057,'0',,
1.64083,\n,,
1.64109,'248',,
1.64135,'31',,
1.64161,H,,
1.64187,'31',,
1.64213,'16',,
1.64239,'0',,
1.642651,'0',,
1.642911,'0',,
1.643171,'0',,
1.643431,'169',,
1.643691,'154',,
1.643951,'169',,
1.644211,'155',,
1.644471,'225',,
1.644731,'142',,
1.644991,'176',,
1.645251,'139',,
1.645511,'19',,
1.645771,'140',,
1.646031,'4',,
1.646291,'8',,
1.64787,L,,
1.64813,C,,
1.648391,S,,
1.648651,A,,
1.648911,'250',,
1.649171,Q,,
1.649431,'160',,
1.649691,'0',,
1.649951,\n,,
1.650211,'0',,
1.650471,'1',,
1.650731,'0',,
1.650991,\n,,
1.651251,'248',,
1.651511,'31',,
1.651771,H,,
1.652031,'31',,
1.652291,0,,
1.652551,'0',,
1.652811,'0',,
1.653071,'0',,
1.653331,'0',,
1.653591,'169',,
1.653851,'154',,
1.654111,'169',,
1.654371,'155',,
1.654631,'225',,
1.654891,'142',,
1.655151,'176',,
1.655411,'139',,
1.655671,'19',,
1.655931,'140',,
1.656191,'4',,
1.656451,'8',,
1.659061,L,,
1.659321,C,,
1.659581,S,,
1.659841,A,,
1.660101,'250',,
1.660362,Q,,
1.660622,'160',,
1.660881,'0',,
1.661142,\n,,
1.661402,'0',,
1.661662,'1',,
1.661922,'0',,
1.662182,\n,,
1.662442,'248',,
1.662702,'31',,
1.662962,H,,
1.663222,'31',,
1.663482,p,,
1.663742,'0',,
1.664002,'0',,
1.664262,'0',,
1.664522,'0',,
1.664782,'169',,
1.665042,'154',,
1.665302,'169',,
1.665562,'155',,
1.665822,'225',,
1.666082,'142',,
1.666342,'176',,
1.666602,'139',,
1.666862,'19',,
1.667122,'140',,
1.667382,'4',,
1.667642,'8',,
1.677707,L,,
1.677967,C,,
1.678227,S,,
1.678487,A,,
1.678747,'250',,
1.679007,Q,,
1.679267,'160',,
1.679527,'0',,
1.679787,\n,,
1.680047,'0',,
1.680307,'1',,
1.680567,'0',,
1.680827,\n,,
1.681087,'248',,
1.681347,'31',,
1.681607,H,,
1.681867,'31',,
1.682127,'248',,
1.682387,'0',,
1.682647,'0',,
1.682907,'0',,
1.683167,'0',,
1.683427,'169',,
1.683687,'154',,
1.683947,'169',,
1.684207,'155',,
1.684468,'225',,
1.684728,'142',,
1.684988,'176',,
1.685248,'139',,
1.685508,'19',,
1.685768,'140',,
1.686028,'4',,
1.686288,'8',,
1.68771,L,,
1.68797,C,,
1.68823,S,,
1.68849,A,,
1.68875,'250',,
1.68901,Q,,
1.68927,'160',,
1.68953,'0',,
1.68979,\n,,
1.69005,'0',,
1.69031,'1',,
1.69057,'0',,
1.69083,\n,,
1.69109,'248',,
1.69135,'31',,
1.69161,H,,
1.69187,'31',,
1.69213,'252',,
1.69239,'0',,
1.69265,'0',,
1.69291,'0',,
1.69317,'0',,
1.69343,'169',,
1.69369,'154',,
1.69395,'169',,
1.69421,'155',,
1.69447,'225',,
1.69473,'142',,
1.69499,'176',,
1.69525,'139',,
1.69551,'19',,
1.69577,'140',,
1.696031,'4',,
1.696291,'8',,
1.697713,L,,
1.697973,C,,
1.698233,S,,
1.698493,A,,
1.698753,'250',,
1.699013,Q,,
1.699273,'160',,
1.699533,'0',,
1.699793,\n,,
1.700053,'0',,
1.700313,'1',,
1.700573,'0',,
1.700833,\n,,
1.701093,'248',,
1.701353,'31',,
1.701613,H,,
1.701873,'31',,
1.702133,'254',,
1.702393,'0',,
1.702653,'0',,
1.702913,'0',,
1.703173,'0',,
1.703433,'169',,
1.703693,'154',,
1.703953,'169',,
1.704213,'155',,
1.704473,'225',,
1.704733,'142',,
1.704993,'176',,
1.705253,'139',,
1.705513,'19',,
1.705773,'140',,
1.706033,'4',,
1.706293,'8',,
1.707714,L,,
1.707974,C,,
1.708234,S,,
1.708494,A,,
1.708754,'250',,
1.709014,Q,,
1.709274,'160',,
1.709534,'0',,
1.709794,\n,,
1.710054,'0',,
1.710314,'1',,
1.710574,'0',,
1.710834,\n,,
1.711094,'248',,
1.711354,'31',,
1.711614,H,,
1.711874,'31',,
1.712134,'255',,
1.712394,'0',,
1.712654,'0',,
1.712914,'0',,
1.713174,'0',,
1.713434,'169',,
1.713694,'154',,
1.713954,'169',,
1.714214,'155',,
1.714474,'225',,
1.714735,'142',,
1.714995,'176',,
1.715255,'139',,
1.715515,'19',,
1.715775,'140',,
1.716035,'4',,
1.716295,'8',,
1.717715,L,,
1.717975,C,,
1.718235,S,,
1.718495,A,,
1.718755,'250',,
1.719015,Q,,
1.719275,'160',,
1.719535,'0',,
1.719795,\n,,
1.720055,'0',,
1.720315,'1',,
1.720575,'0',,
1.720835,\n,,
1.721095,'248',,
1.721355,'31',,
1.721615,H,,
1.721875,'31',,
1.722135,'255',,
1.722396,'16',,
1.722655,'0',,
1.722916,'0',,
1.723176,'0',,
1.723436,'169',,
1.723696,'154',,
1.723956,'169',,
1.724216,'155',,
1.724476,'225',,
1.724736,'142',,
1.724996,'176',,
1.725256,'139',,
1.725516,'19',,
1.725776,'140',,
1.726036,'4',,
1.726296,'8',,
1.737729,L,,
1.737989,C,,
1.738249,S,,
1.738509,A,,
1.738769,'250',,
1.739029,Q,,
1.739289,'160',,
1.739549,'0',,
1.739809,\n,,
1.740069,'0',,
1.740329,'1',,
1.740589,'0',,
1.740849,\n,,
1.741109,'248',,
1.741369,'31',,
1.741629,H,,
1.741889,'31',,
1.742149,'255',,
1.742409,0,,
1.742669,'0',,
1.742929,'0',,
1.743189,'0',,
1.743449,'169',,
1.743709,'154',,
1.743969,'169',,
1.74423,'155',,
1.74449,'225',,
1.74475,'142',,
1.74501,'176',,
1.74527,'139',,
1.74553,'19',,
1.74579,'140',,
1.74605,'4',,
1.74631,'8',,
1.767721,L,,
1.767981,C,,
1.768241,S,,
1.768501,A,,
1.768761,'250',,
1.769021,Q,,
1.769281,'160',,
1.769541,'0',,
1.769801,\n,,
1.770061,'0',,
1.770321,'1',,
1.770581,'0',,
1.770841,\n,,
1.771102,'248',,
1.771362,'31',,
1.771622,H,,
1.771882,'31',,
1.772142,'255',,
1.772402,p,,
1.772662,'0',,
1.772922,'0',,
1.773182,'0',,
1.773442,'169',,
1.773702,'154',,
1.773962,'169',,
1.774222,'155',,
1.774482,'225',,
1.774742,'142',,
1.775002,'176',,
1.775262,'139',,
1.775522,'19',,
1.775782,'140',,
1.776042,'4',,
1.776302,'8',,
1.807728,L,,
1.807988,C,,
1.808248,S,,
1.808508,A,,
1.808768,'250',,
1.809028,Q,,
1.809288,'160',,
1.809548,'0',,
1.809808,\n,,
1.810068,'0',,
1.810328,'1',,
1.810588,'0',,
1.810848,\n,,
1.811108,'248',,
1.811368,'31',,
1.811628,H,,
1.811888,'31',,
1.812148,'255',,
1.812408,'240',,
1.812668,'0',,
1.812928,'0',,
1.813188,'0',,
1.813448,'169',,
1.813708,'154',,
1.813968,'169',,
1.814228,'155',,
1.814488,'225',,
1.814749,'142',,
1.815008,'176',,
1.815268,'139',,
1.815529,'19',,
