Time [s],Value,Parity Error,Framing Error
0.055125,S,,
0.055384,W,,
0.055643,D,,
0.055902,V,,
0.056161,5,,
0.05642,3,,
0.056679,4,,
0.056938,A,,
0.057196,1,,
0.057455,F,,
0.057714,0,,
0.057973,0,,
0.058232,0,,
0.058491,1,,
0.05875,0,,
0.059009,0,,
0.059268,\r,,
0.059527,\n,,
0.07504,S,,
0.075299,W,,
0.075558,D,,
0.075817,V,,
0.076075,5,,
0.076334,3,,
0.076593,4,,
0.076852,B,,
0.077111,1,,
0.07737,F,,
0.077629,0,,
0.077888,0,,
0.078147,0,,
0.078406,1,,
0.078665,0,,
0.078923,0,,
0.079182,\r,,
0.079441,\n,,
4.277268,S,,
4.277527,W,,
4.277785,D,,
4.278044,V,,
4.278303,5,,
4.278562,3,,
4.278821,4,,
4.27908,B,,
4.279339,1,,
4.279598,E,,
4.279857,0,,
4.280116,0,,
4.280375,0,,
4.280633,1,,
4.280892,0,,
4.281151,0,,
4.28141,\r,,
4.281669,\n,,
4.297182,S,,
4.297441,W,,
4.2977,D,,
4.297959,V,,
4.298218,5,,
4.298477,3,,
4.298736,4,,
4.298995,B,,
4.299254,1,,
4.299513,F,,
4.299771,0,,
4.30003,0,,
4.300289,0,,
4.300548,1,,
4.300807,0,,
4.301066,0,,
4.301325,\r,,
4.301584,\n,,
11.865176,S,,
11.865435,W,,
11.865694,D,,
11.865952,V,,
11.866211,5,,
11.86647,2,,
11.866729,4,,
11.866988,B,,
11.867247,1,,
11.867506,F,,
11.867765,0,,
11.868024,0,,
11.868283,0,,
11.868542,1,,
11.8688,0,,
11.869059,0,,
11.869318,\r,,
11.869577,\n,,
11.885097,S,,
11.885356,W,,
11.885615,D,,
11.885874,V,,
11.886132,5,,
11.886391,3,,
11.88665,4,,
11.886909,B,,
11.887168,1,,
11.887427,F,,
11.887686,0,,
11.887945,0,,
11.888204,0,,
11.888463,1,,
11.888722,0,,
11.88898,0,,
11.889239,\r,,
11.889498,\n,,
12.114123,S,,
12.114382,W,,
12.11464,D,,
12.114899,V,,
12.115158,5,,
12.115417,3,,
12.115676,4,,
12.115935,A,,
12.116194,1,,
12.116453,F,,
12.116712,0,,
12.116971,0,,
12.11723,0,,
12.117488,1,,
12.117747,0,,
12.118006,0,,
12.118265,\r,,
12.118524,\n,,
12.134037,S,,
12.134296,W,,
12.134555,D,,
12.134814,V,,
12.135073,5,,
12.135332,3,,
12.135591,4,,
12.13585,B,,
12.136109,1,,
12.136368,F,,
12.136626,0,,
12.136885,0,,
12.137144,0,,
12.137403,1,,
12.137662,0,,
12.137921,0,,
12.13818,\r,,
12.138439,\n,,
13.368814,S,,
13.369073,W,,
13.369332,D,,
13.36959,V,,
13.369849,5,,
13.370108,3,,
13.370367,4,,
13.370626,B,,
13.370885,1,,
13.371144,E,,
13.371403,0,,
13.371662,0,,
13.371921,0,,
13.37218,1,,
13.372438,0,,
13.372697,0,,
13.372956,\r,,
13.373215,\n,,
13.378772,S,,
13.379031,W,,
13.37929,D,,
13.379549,V,,
13.379808,5,,
13.380066,3,,
13.380325,4,,
13.380584,B,,
13.380843,1,,
13.381102,F,,
13.381361,0,,
13.38162,0,,
13.381879,0,,
13.382138,1,,
13.382397,0,,
13.382655,0,,
13.382914,\r,,
13.383173,\n,,
13.408646,S,,
13.408905,W,,
13.409164,D,,
13.409423,V,,
13.409682,5,,
13.409941,2,,
13.4102,4,,
13.410459,B,,
13.410718,1,,
13.410976,F,,
13.411235,0,,
13.411494,0,,
13.411753,0,,
13.412012,1,,
13.412271,0,,
13.41253,0,,
13.412789,\r,,
13.413048,\n,,
13.418604,S,,
13.418863,W,,
13.419122,D,,
13.419381,V,,
13.41964,5,,
13.419899,1,,
13.420158,4,,
13.420417,B,,
13.420676,1,,
13.420935,F,,
13.421193,0,,
13.421452,0,,
13.421711,0,,
13.42197,1,,
13.422229,0,,
13.422488,0,,
13.422747,\r,,
13.423006,\n,,
13.428563,S,,
13.428821,W,,
13.42908,D,,
13.429339,V,,
13.429598,5,,
13.429857,3,,
13.430116,4,,
13.430375,B,,
13.430634,1,,
13.430893,F,,
13.431152,0,,
13.431411,0,,
13.431669,0,,
13.431928,1,,
13.432187,0,,
13.432446,0,,
13.432705,\r,,
13.432964,\n,,
