Time [s],Value,Parity Error,Framing Error
0.247091,L,,
0.247351,C,,
0.247611,S,,
0.247871,A,,
0.248131,'250',,
0.248391,Q,,
0.248651,'160',,
0.248911,'0',,
0.249171,\n,,
0.249431,h,,
0.249691,'29',,
0.249951,'232',,
0.250211,'30',,
0.250471,'185',,
0.250731,'155',,
0.250991,'232',,
0.251251,'23',,
0.251511,'255',,
0.251771,'0',,
0.252031,'0',,
0.252291,'0',,
0.252551,'0',,
0.252811,'169',,
0.253071,'154',,
0.253331,a,,
0.253591,'141',,
0.253852,'160',,
0.254112,'128',,
0.254372,'176',,
0.254632,'139',,
0.254892,'19',,
0.255152,'140',,
0.255412,'4',,
0.255672,'8',,
0.546949,L,,
0.547209,C,,
0.547469,S,,
0.547729,A,,
0.547989,'250',,
0.548249,Q,,
0.548509,'160',,
0.548769,'0',,
0.549029,\n,,
0.549289,h,,
0.549549,'29',,
0.549809,'232',,
0.550069,'30',,
0.550329,'185',,
0.550589,'155',,
0.550849,'232',,
0.551109,'23',,
0.551369,'255',,
0.551629,'0',,
0.55189,'0',,
0.55215,'0',,
0.55241,'0',,
0.55267,'169',,
0.55293,'154',,
0.55319,a,,
0.55345,'141',,
0.55371,'160',,
0.55397,'128',,
0.55423,'176',,
0.55449,'139',,
0.55475,'19',,
0.55501,'140',,
0.55527,'4',,
0.55553,'8',,
0.84715,L,,
0.84741,C,,
0.84767,S,,
0.84793,A,,
0.84819,'250',,
0.84845,Q,,
0.84871,'160',,
0.84897,'0',,
0.84923,\n,,
0.84949,h,,
0.84975,'29',,
0.85001,'232',,
0.85027,'30',,
0.85053,'185',,
0.850791,'155',,
0.851051,'232',,
0.851311,'23',,
0.851571,'255',,
0.851831,'0',,
0.852091,'0',,
0.852351,'0',,
0.852611,'0',,
0.852871,'169',,
0.853131,'154',,
0.853391,a,,
0.853651,'141',,
0.853911,'160',,
0.854171,'128',,
0.854431,'176',,
0.854691,'139',,
0.854951,'19',,
0.855211,'140',,
0.855471,'4',,
0.855731,'8',,
1.147007,L,,
1.147267,C,,
1.147527,S,,
1.147787,A,,
1.148047,'250',,
1.148307,Q,,
1.148567,'160',,
1.148827,'0',,
1.149087,\n,,
1.149347,h,,
1.149607,'29',,
1.149867,'232',,
1.150127,'30',,
1.150387,'185',,
1.150647,'155',,
1.150907,'232',,
1.151167,'23',,
1.151427,'255',,
1.151687,'0',,
1.151947,'0',,
1.152207,'0',,
1.152467,'0',,
1.152727,'169',,
1.152987,'154',,
1.153247,a,,
1.153507,'141',,
1.153767,'160',,
1.154027,'128',,
1.154287,'176',,
1.154547,'139',,
1.154807,'19',,
1.155067,'140',,
1.155328,'4',,
1.155588,'8',,
1.447209,L,,
1.447469,C,,
1.44773,S,,
1.44799,A,,
1.44825,'250',,
1.44851,Q,,
1.44877,'160',,
1.44903,'0',,
1.44929,\n,,
1.44955,h,,
1.44981,'29',,
1.45007,'232',,
1.45033,'30',,
1.45059,'185',,
1.45085,'155',,
1.45111,'232',,
1.45137,'23',,
1.45163,'255',,
1.45189,'0',,
1.45215,'0',,
1.45241,'0',,
1.45267,'0',,
1.45293,'169',,
1.45319,'154',,
1.45345,a,,
1.45371,'141',,
1.45397,'160',,
1.45423,'128',,
1.45449,'176',,
1.45475,'139',,
1.45501,'19',,
1.45527,'140',,
1.45553,'4',,
1.45579,'8',,
1.747066,L,,
1.747326,C,,
1.747586,S,,
1.747846,A,,
1.748106,'250',,
1.748366,Q,,
1.748626,'160',,
1.748886,'0',,
1.749146,\n,,
1.749406,h,,
1.749666,'29',,
1.749926,'232',,
1.750186,'30',,
1.750446,'185',,
1.750706,'155',,
1.750966,'232',,
1.751226,'23',,
1.751486,'255',,
1.751746,'0',,
1.752006,'0',,
1.752266,'0',,
1.752527,'0',,
1.752787,'169',,
1.753047,'154',,
1.753307,a,,
1.753567,'141',,
1.753827,'160',,
1.754087,'128',,
1.754347,'176',,
1.754607,'139',,
1.754867,'19',,
1.755127,'140',,
1.755387,'4',,
1.755647,'8',,
2.047267,L,,
2.047527,C,,
2.047787,S,,
2.048047,A,,
2.048307,'250',,
2.048567,Q,,
2.048827,'160',,
2.049087,'0',,
2.049347,\n,,
2.049607,h,,
2.049867,'29',,
2.050127,'232',,
2.050387,'30',,
2.050647,'185',,
2.050907,'155',,
2.051168,'232',,
2.051428,'23',,
2.051688,'255',,
2.051948,'0',,
2.052208,'0',,
2.052468,'0',,
2.052728,'0',,
2.052988,'169',,
2.053248,'154',,
2.053508,a,,
2.053768,'141',,
2.054028,'160',,
2.054288,'128',,
2.054548,'176',,
2.054808,'139',,
2.055068,'19',,
2.055328,'140',,
2.055588,'4',,
2.055848,'8',,
2.208182,L,,
2.208442,C,,
2.208702,S,,
2.208962,A,,
2.209222,'250',,
2.209482,Q,,
2.209742,'160',,
2.210002,'0',,
2.210262,\n,,
2.210523,h,,
2.210783,'29',,
2.211043,'232',,
2.211303,'30',,
2.211563,'185',,
2.211823,'155',,
2.212083,'232',,
