Time [s],Value,Parity Error,Framing Error
1.155973,S,,
1.156232,W,,
1.156491,D,,
1.156749,R,,
1.157008,8,,
1.157267,1,,
1.157526,0,,
1.157785,1,,
1.158044,0,,
1.158303,0,,
1.158562,\r,,
1.158821,\n,,
1.165956,S,,
1.166216,W,,
1.166474,D,,
1.166733,R,,
1.166992,8,,
1.167251,0,,
1.16751,0,,
1.167769,1,,
1.168028,0,,
1.168287,0,,
1.168546,\r,,
1.168805,\n,,
1.175889,S,,
1.176148,W,,
1.176407,D,,
1.176666,R,,
1.176924,8,,
1.177183,1,,
1.177442,0,,
1.177701,1,,
1.17796,0,,
1.178219,0,,
1.178478,\r,,
1.178737,\n,,
1.235661,S,,
1.235921,W,,
1.236179,D,,
1.236438,R,,
1.236697,8,,
1.236956,2,,
1.237215,0,,
1.237474,1,,
1.237732,0,,
1.237991,0,,
1.23825,\r,,
1.238509,\n,,
1.245645,S,,
1.245904,W,,
1.246163,D,,
1.246422,R,,
1.246681,8,,
1.24694,1,,
1.247198,0,,
1.247457,1,,
1.247717,0,,
1.247975,0,,
1.248234,\r,,
1.248493,\n,,
1.265535,S,,
1.265794,W,,
1.266053,D,,
1.266312,R,,
1.266571,8,,
1.26683,2,,
1.267089,0,,
1.267348,1,,
1.267607,0,,
1.267865,0,,
1.268124,\r,,
1.268383,\n,,
1.275518,S,,
1.275776,W,,
1.276035,D,,
1.276294,R,,
1.276554,8,,
1.276812,1,,
1.277071,0,,
1.27733,1,,
1.277589,0,,
1.277848,0,,
1.278107,\r,,
1.278366,\n,,
1.28545,S,,
1.285709,W,,
1.285968,D,,
1.286226,R,,
1.286485,8,,
1.286744,2,,
1.287003,0,,
1.287262,1,,
1.287521,0,,
1.28778,0,,
1.288039,\r,,
1.288298,\n,,
1.295408,S,,
1.295667,W,,
1.295926,D,,
1.296184,R,,
1.296443,8,,
1.296702,1,,
1.296961,0,,
1.29722,1,,
1.297479,0,,
1.297738,0,,
1.297997,\r,,
1.298256,\n,,
1.305366,S,,
1.305625,W,,
1.305884,D,,
1.306142,R,,
1.306401,8,,
1.30666,2,,
1.306919,0,,
1.307178,1,,
1.307437,0,,
1.307696,0,,
1.307955,\r,,
1.308214,\n,,
1.325282,S,,
1.325541,W,,
1.3258,D,,
1.326059,R,,
1.326317,8,,
1.326576,1,,
1.326835,0,,
1.327094,1,,
1.327353,0,,
1.327612,0,,
1.327871,\r,,
1.32813,\n,,
1.375067,S,,
1.375326,W,,
1.375585,D,,
1.375844,R,,
1.376103,8,,
1.376361,0,,
1.37662,0,,
1.376879,1,,
1.377138,0,,
1.377397,0,,
1.377656,\r,,
1.377914,\n,,
1.385002,S,,
1.385261,W,,
1.38552,D,,
1.385779,R,,
1.386038,8,,
1.386297,1,,
1.386556,0,,
1.386815,1,,
1.387074,0,,
1.387332,0,,
1.387591,\r,,
1.38785,\n,,
1.404941,S,,
1.4052,W,,
1.405459,D,,
1.405717,R,,
1.405977,8,,
1.406236,0,,
1.406494,0,,
1.406753,1,,
1.407012,0,,
1.407271,0,,
1.40753,\r,,
1.407789,\n,,
1.414875,S,,
