Time [s],Value,Parity Error,Framing Error
0.061577,L,,
0.061837,C,,
0.062097,S,,
0.062357,A,,
0.062617,'250',,
0.062877,Q,,
0.063137,'160',,
0.063397,'0',,
0.063657,\n,,
0.063917,h,,
0.064177,'29',,
0.064437,'232',,
0.064697,'30',,
0.064957,'185',,
0.065217,'155',,
0.065477,'232',,
0.065737,'23',,
0.065997,'248',,
0.066257,'0',,
0.066517,'0',,
0.066777,'0',,
0.067037,'0',,
0.067297,'225',,
0.067557,'132',,
0.067818,a,,
0.068078,'141',,
0.068338,'160',,
0.068598,'128',,
0.068858,'176',,
0.069118,'139',,
0.069378,'19',,
0.069638,'140',,
0.069898,'4',,
0.070158,'8',,
0.361778,L,,
0.362038,C,,
0.362298,S,,
0.362558,A,,
0.362818,'250',,
0.363078,Q,,
0.363338,'160',,
0.363598,'0',,
0.363858,\n,,
0.364118,h,,
0.364378,'29',,
0.364638,'232',,
0.364898,'30',,
0.365158,'185',,
0.365418,'155',,
0.365678,'232',,
0.365939,'23',,
0.366198,'248',,
0.366459,'0',,
0.366719,'0',,
0.366979,'0',,
0.367239,'0',,
0.367499,'225',,
0.367759,'132',,
0.368019,a,,
0.368279,'141',,
0.368539,'160',,
0.368799,'128',,
0.369059,'176',,
0.369319,'139',,
0.369579,'19',,
0.369839,'140',,
0.370099,'4',,
0.370359,'8',,
0.661635,L,,
0.661895,C,,
0.662155,S,,
0.662415,A,,
0.662675,'250',,
0.662935,Q,,
0.663195,'160',,
0.663455,'0',,
0.663715,\n,,
0.663975,h,,
0.664235,'29',,
0.664495,'232',,
0.664755,'30',,
0.665015,'185',,
0.665275,'155',,
0.665535,'232',,
0.665795,'23',,
0.666055,'248',,
0.666315,'0',,
0.666575,'0',,
0.666835,'0',,
0.667095,'0',,
0.667355,'225',,
0.667615,'132',,
0.667875,a,,
0.668135,'141',,
0.668395,'160',,
0.668655,'128',,
0.668915,'176',,
0.669175,'139',,
0.669435,'19',,
0.669696,'140',,
0.669956,'4',,
0.670216,'8',,
0.961838,L,,
0.962098,C,,
0.962358,S,,
0.962618,A,,
0.962878,'250',,
0.963138,Q,,
0.963398,'160',,
0.963658,'0',,
0.963918,\n,,
0.964178,h,,
0.964438,'29',,
0.964698,'232',,
0.964958,'30',,
0.965218,'185',,
0.965478,'155',,
0.965738,'232',,
0.965998,'23',,
0.966258,'248',,
0.966518,'0',,
0.966778,'0',,
0.967038,'0',,
0.967298,'0',,
0.967558,'225',,
0.967818,'132',,
0.968078,a,,
0.968338,'141',,
0.968598,'160',,
0.968858,'128',,
0.969118,'176',,
0.969378,'139',,
0.969638,'19',,
0.969898,'140',,
0.970158,'4',,
0.970418,'8',,
1.164214,L,,
1.164474,C,,
1.164734,S,,
1.164994,A,,
1.165254,'250',,
1.165514,Q,,
1.165774,'160',,
1.166034,'0',,
1.166294,\n,,
1.166554,h,,
1.166814,'29',,
1.167074,'232',,
1.167334,'30',,
1.167594,'185',,
1.167854,'155',,
1.168114,'232',,
1.168374,'23',,
1.168634,'248',,
1.168894,'0',,
1.169154,'0',,
1.169414,'0',,
1.169674,'0',,
1.169934,'224',,
1.170194,'12',,
1.170454,a,,
1.170715,'141',,
1.170975,'160',,
1.171235,'128',,
1.171495,'176',,
1.171755,'139',,
1.172015,'19',,
1.172275,'140',,
1.172535,'4',,
1.172795,'8',,
1.184228,L,,
1.184488,C,,
1.184748,S,,
1.185008,A,,
1.185268,'250',,
1.185528,Q,,
1.185788,'160',,
1.186048,'0',,
1.186308,\n,,
1.186568,h,,
1.186828,'29',,
1.187088,'232',,
1.187348,'30',,
1.187608,'185',,
1.187868,'155',,
1.188128,'232',,
1.188388,'23',,
1.188648,'248',,
1.188908,'0',,
1.189168,'0',,
1.189428,'0',,
1.189688,'0',,
1.189948,a,,
1.190208,'140',,
1.190468,a,,
1.190728,'141',,
1.190988,'160',,
1.191248,'128',,
1.191508,'176',,
1.191768,'139',,
1.192029,'19',,
1.192289,'140',,
1.192549,'4',,
1.192809,'8',,
1.19438,L,,
1.19464,C,,
1.1949,S,,
1.19516,A,,
1.19542,'250',,
1.19568,Q,,
1.19594,'160',,
1.1962,'0',,
1.19646,\n,,
1.19672,h,,
1.19698,'29',,
1.19724,'232',,
1.1975,'30',,
1.19776,'185',,
1.19802,'155',,
1.19828,'232',,
1.198541,'23',,
1.198801,'248',,
1.199061,'0',,
1.199321,'0',,
1.199581,'0',,
1.199841,'0',,
1.200101,a,,
1.200361,'142',,
1.200621,a,,
1.200881,'141',,
1.201141,'160',,
1.201401,'128',,
1.201661,'176',,
1.201921,'139',,
1.202181,'19',,
1.202441,'140',,
1.202701,'4',,
1.202961,'8',,
1.204383,L,,
1.204643,C,,
1.204903,S,,
1.205163,A,,
1.205423,'250',,
1.205683,Q,,
1.205943,'160',,
1.206203,'0',,
1.206463,\n,,
1.206723,h,,
1.206983,'29',,
1.207243,'232',,
1.207503,'30',,
1.207763,'185',,
1.208023,'155',,
1.208283,'232',,
1.208543,'23',,
1.208803,'248',,
1.209063,'0',,
1.209323,'0',,
1.209583,'0',,
1.209844,'0',,
1.210104,'160',,
1.210364,'128',,
1.210624,a,,
1.210884,'141',,
1.211144,'160',,
1.211404,'128',,
1.211664,'176',,
1.211924,'139',,
1.212184,'19',,
1.212444,'140',,
1.212704,'4',,
1.212964,'8',,
1.214383,L,,
1.214643,C,,
1.214903,S,,
1.215163,A,,
1.215423,'250',,
1.215683,Q,,
1.215943,'160',,
1.216203,'0',,
1.216463,\n,,
1.216723,h,,
1.216983,'29',,
1.217243,'232',,
1.217503,'30',,
1.217763,'185',,
1.218023,'155',,
1.218283,'232',,
1.218543,'23',,
1.218803,'248',,
1.219063,'0',,
1.219323,'0',,
1.219583,'0',,
1.219843,'0',,
1.220103,'225',,
1.220363,'142',,
1.220623,a,,
1.220883,'141',,
1.221143,'160',,
1.221403,'128',,
1.221663,'176',,
1.221923,'139',,
1.222183,'19',,
1.222443,'140',,
1.222703,'4',,
1.222963,'8',,
1.224384,L,,
1.224644,C,,
1.224904,S,,
1.225164,A,,
1.225424,'250',,
1.225684,Q,,
1.225944,'160',,
1.226204,'0',,
1.226464,\n,,
1.226724,h,,
1.226984,'29',,
1.227244,'232',,
1.227504,'30',,
1.227764,'185',,
1.228024,'155',,
1.228284,'232',,
1.228544,'23',,
1.228804,'248',,
1.229064,'0',,
1.229324,'0',,
1.229584,'0',,
1.229844,'0',,
1.230104,'225',,
1.230364,'140',,
1.230624,a,,
1.230884,'141',,
1.231145,'160',,
1.231405,'128',,
1.231665,'176',,
1.231925,'139',,
1.232185,'19',,
1.232445,'140',,
1.232705,'4',,
1.232965,'8',,
1.234387,L,,
1.234647,C,,
1.234907,S,,
1.235167,A,,
1.235427,'250',,
1.235687,Q,,
1.235947,'160',,
1.236207,'0',,
1.236467,\n,,
1.236727,h,,
1.236987,'29',,
1.237247,'232',,
1.237507,'30',,
1.237767,'185',,
1.238027,'155',,
1.238287,'232',,
1.238547,'23',,
1.238807,'248',,
1.239067,'0',,
1.239327,'0',,
1.239587,'0',,
1.239847,'0',,
1.240107,'169',,
1.240367,'154',,
1.240627,a,,
1.240887,'143',,
1.241147,'160',,
1.241407,'128',,
1.241667,'176',,
1.241927,'139',,
1.242187,'19',,
1.242447,'140',,
1.242707,'4',,
1.242968,'8',,
1.244542,L,,
1.244802,C,,
1.245062,S,,
1.245322,A,,
1.245582,'250',,
1.245842,Q,,
1.246102,'160',,
1.246362,'0',,
1.246623,\n,,
1.246882,h,,
1.247143,'29',,
1.247403,'232',,
1.247663,'30',,
1.247923,'185',,
1.248183,'155',,
1.248443,'232',,
1.248703,'23',,
1.248963,'248',,
1.249223,'0',,
1.249483,'0',,
1.249743,'0',,
1.250003,'0',,
1.250263,'193',,
1.250523,'134',,
1.250783,a,,
1.251043,'143',,
1.251303,'160',,
1.251563,'128',,
1.251823,'176',,
1.252083,'139',,
1.252343,'19',,
1.252603,'140',,
1.252863,'4',,
1.253123,'8',,
1.254557,L,,
1.254817,C,,
1.255077,S,,
1.255337,A,,
1.255597,'250',,
1.255857,Q,,
1.256117,'160',,
1.256377,'0',,
1.256637,\n,,
1.256897,h,,
1.257157,'29',,
1.257417,'232',,
1.257677,'30',,
1.257937,'185',,
1.258197,'155',,
1.258457,'232',,
1.258717,'23',,
1.258977,'248',,
1.259237,'0',,
1.259497,'0',,
1.259757,'0',,
1.260017,'0',,
1.260277,'225',,
1.260537,'132',,
1.260797,a,,
1.261057,'143',,
1.261317,'160',,
1.261577,'128',,
1.261837,'176',,
1.262097,'139',,
1.262357,'19',,
1.262617,'140',,
1.262877,'4',,
1.263137,'8',,
1.264256,L,,
1.264516,C,,
1.264776,S,,
1.265036,A,,
1.265296,'250',,
1.265556,Q,,
1.265816,'160',,
1.266076,'0',,
1.266336,\n,,
1.266596,h,,
1.266856,'29',,
1.267116,'232',,
1.267376,'30',,
1.267636,'185',,
1.267896,'155',,
1.268156,'232',,
1.268416,'23',,
1.268676,'248',,
1.268936,'0',,
1.269196,'0',,
1.269456,'0',,
1.269716,'0',,
1.269976,'224',,
1.270236,'12',,
1.270496,a,,
1.270756,'143',,
1.271016,'160',,
1.271276,'128',,
1.271536,'176',,
1.271796,'139',,
1.272056,'19',,
1.272316,'140',,
1.272576,'4',,
1.272836,'8',,
1.274421,L,,
1.274681,C,,
1.274941,S,,
1.275201,A,,
1.275461,'250',,
1.275721,Q,,
1.275981,'160',,
1.276241,'0',,
1.276501,\n,,
1.276761,h,,
1.277021,'29',,
1.277281,'232',,
1.277541,'30',,
1.277801,'185',,
1.278061,'155',,
1.278321,'232',,
1.278581,'23',,
1.278841,'248',,
1.279101,'0',,
1.279361,'0',,
1.279621,'0',,
1.279881,'0',,
1.280141,a,,
1.280401,'142',,
1.280661,a,,
1.280922,'143',,
1.281182,'160',,
1.281442,'128',,
1.281702,'176',,
1.281962,'139',,
1.282222,'19',,
1.282482,'140',,
1.282742,'4',,
1.283002,'8',,
1.284446,L,,
1.284706,C,,
1.284967,S,,
1.285227,A,,
1.285487,'250',,
1.285747,Q,,
1.286007,'160',,
1.286267,'0',,
1.286527,\n,,
1.286787,h,,
1.287047,'29',,
1.287307,'232',,
1.287567,'30',,
1.287827,'185',,
1.288087,'155',,
1.288347,'232',,
1.288607,'23',,
1.288867,'248',,
1.289127,'0',,
1.289387,'0',,
1.289647,'0',,
1.289907,'0',,
1.290167,'160',,
1.290427,'128',,
1.290687,a,,
1.290947,'143',,
1.291207,'160',,
1.291467,'128',,
1.291727,'176',,
1.291987,'139',,
