Time [s],Value,Parity Error,Framing Error
0.089395,S,,
0.089654,W,,
0.089913,D,,
0.090172,R,,
0.090431,7,,
0.090689,F,,
0.090948,0,,
0.091207,1,,
0.091466,0,,
0.091725,0,,
0.091984,\r,,
0.092243,\n,,
0.099379,S,,
0.099638,W,,
0.099897,D,,
0.100155,R,,
0.100414,8,,
0.100673,0,,
0.100932,0,,
0.101191,1,,
0.10145,0,,
0.101709,0,,
0.101968,\r,,
0.102227,\n,,
0.139183,S,,
0.139442,W,,
0.139701,D,,
0.13996,R,,
0.140219,7,,
0.140478,F,,
0.140737,0,,
0.140996,1,,
0.141254,0,,
0.141513,0,,
0.141772,\r,,
0.142031,\n,,
0.149193,S,,
0.149452,W,,
0.149711,D,,
0.14997,R,,
0.150229,8,,
0.150488,0,,
0.150746,0,,
0.151005,1,,
0.151264,0,,
0.151523,0,,
0.151782,\r,,
0.152041,\n,,
0.159099,S,,
0.159358,W,,
0.159617,D,,
0.159876,R,,
0.160135,7,,
0.160394,F,,
0.160653,0,,
0.160912,1,,
0.161171,0,,
0.161429,0,,
0.161688,\r,,
0.161947,\n,,
0.169083,S,,
0.169342,W,,
0.169601,D,,
0.16986,R,,
0.170119,8,,
0.170378,0,,
0.170637,0,,
0.170896,1,,
0.171154,0,,
0.171413,0,,
0.171672,\r,,
0.171931,\n,,
0.179014,S,,
0.179273,W,,
0.179531,D,,
0.17979,R,,
0.180049,7,,
0.180308,F,,
0.180567,0,,
0.180826,1,,
0.181085,0,,
0.181344,0,,
0.181603,\r,,
0.181862,\n,,
0.238786,S,,
0.239045,W,,
0.239303,D,,
0.239562,R,,
0.239821,7,,
0.24008,E,,
0.240339,0,,
0.240598,1,,
0.240857,0,,
0.241116,0,,
0.241375,\r,,
0.241634,\n,,
0.24877,S,,
0.249029,W,,
0.249288,D,,
0.249547,R,,
0.249806,7,,
0.250064,F,,
0.250323,0,,
0.250582,1,,
0.250841,0,,
0.2511,0,,
0.251359,\r,,
0.251618,\n,,
0.258701,S,,
0.258961,W,,
0.25922,D,,
0.259479,R,,
0.259738,7,,
0.259997,E,,
0.260255,0,,
0.260514,1,,
0.260773,0,,
0.261032,0,,
0.261291,\r,,
0.26155,\n,,
0.26866,S,,
0.268919,W,,
0.269178,D,,
0.269437,R,,
0.269696,7,,
0.269955,F,,
0.270213,0,,
0.270472,1,,
0.270731,0,,
0.27099,0,,
0.271249,\r,,
0.271508,\n,,
0.278616,S,,
0.278875,W,,
0.279134,D,,
0.279393,R,,
0.279652,7,,
0.279911,E,,
0.28017,0,,
0.280429,1,,
0.280688,0,,
0.280947,0,,
0.281205,\r,,
0.281464,\n,,
0.288574,S,,
0.288833,W,,
0.289092,D,,
0.289351,R,,
0.28961,7,,
0.289869,F,,
0.290128,0,,
0.290387,1,,
0.290646,0,,
0.290905,0,,
0.291164,\r,,
0.291422,\n,,
0.29856,S,,
0.298819,W,,
0.299078,D,,
0.299337,R,,
0.299596,7,,
0.299855,E,,
0.300113,0,,
0.300372,1,,
0.300631,0,,
0.30089,0,,
0.301149,\r,,
0.301408,\n,,
0.318449,S,,
0.318707,W,,
0.318966,D,,
0.319225,R,,
0.319484,7,,
0.319743,F,,
0.320002,0,,
0.32026,1,,
0.320521,0,,
0.320779,0,,
0.321038,\r,,
0.321296,\n,,
0.328407,S,,
0.328666,W,,
0.328925,D,,
0.329184,R,,
0.329443,7,,
0.329701,E,,
0.32996,0,,
0.330219,1,,
0.330478,0,,
0.330737,0,,
0.330996,\r,,
0.331255,\n,,
0.33839,S,,
0.338649,W,,
0.338908,D,,
0.339167,R,,
0.339426,7,,
0.339685,F,,
0.339944,0,,
0.340202,1,,
0.340462,0,,
0.340721,0,,
0.34098,\r,,
0.341238,\n,,
0.348323,S,,
0.348582,W,,
0.34884,D,,
0.349099,R,,
0.349358,7,,
0.349617,E,,
0.349876,0,,
0.350135,1,,
0.350394,0,,
0.350653,0,,
0.350912,\r,,
0.35117,\n,,
0.358281,S,,
0.35854,W,,
0.358798,D,,
0.359057,R,,
0.359316,7,,
0.359575,F,,
0.359834,0,,
0.360093,1,,
0.360352,0,,
0.360611,0,,
0.36087,\r,,
0.361129,\n,,
0.4479,S,,
0.448159,W,,
0.448417,D,,
0.448676,R,,
0.448935,7,,
0.449194,E,,
0.449453,0,,
0.449712,1,,
0.449971,0,,
0.450229,0,,
0.450488,\r,,
0.450747,\n,,
0.457884,S,,
0.458142,W,,
0.458401,D,,
0.45866,R,,
0.458919,7,,
0.459178,F,,
0.459437,0,,
0.459696,1,,
0.459955,0,,
0.460214,0,,
0.460472,\r,,
0.460731,\n,,
0.467814,S,,
0.468073,W,,
0.468332,D,,
0.468591,R,,
0.46885,7,,
0.469109,E,,
0.469368,0,,
0.469626,1,,
0.469885,0,,
0.470144,0,,
0.470403,\r,,
0.470662,\n,,
0.587306,S,,
0.587565,W,,
0.587823,D,,
0.588083,R,,
0.588341,7,,
0.5886,F,,
0.588859,0,,
0.589118,1,,
0.589377,0,,
0.589636,0,,
0.589895,\r,,
0.590153,\n,,
0.597262,S,,
0.597521,W,,
0.59778,D,,
0.598039,R,,
0.598298,7,,
0.598557,E,,
0.598815,0,,
0.599074,1,,
0.599333,0,,
0.599592,0,,
0.599851,\r,,
0.60011,\n,,
0.60722,S,,
0.607479,W,,
0.607738,D,,
0.607997,R,,
0.608256,7,,
0.608514,F,,
0.608773,0,,
0.609032,1,,
0.609291,0,,
0.60955,0,,
0.609809,\r,,
0.610068,\n,,
0.627135,S,,
0.627393,W,,
0.627652,D,,
0.627911,R,,
0.62817,7,,
0.628429,E,,
0.628688,0,,
0.628947,1,,
0.629206,0,,
0.629465,0,,
0.629724,\r,,
0.629982,\n,,
0.637092,S,,
0.637351,W,,
0.63761,D,,
0.637869,R,,
0.638128,7,,
0.638387,F,,
0.638646,0,,
0.638905,1,,
0.639163,0,,
0.639423,0,,
0.639682,\r,,
0.63994,\n,,
0.647051,S,,
0.647309,W,,
0.647568,D,,
0.647827,R,,
0.648086,7,,
0.648345,E,,
0.648604,0,,
0.648863,1,,
0.649122,0,,
0.649381,0,,
0.649639,\r,,
0.649898,\n,,
0.657009,S,,
0.657267,W,,
0.657526,D,,
0.657785,R,,
0.658044,7,,
0.658303,F,,
0.658562,0,,
0.65882,1,,
0.65908,0,,
0.659339,0,,
0.659598,\r,,
0.659856,\n,,
0.666965,S,,
0.667224,W,,
0.667483,D,,
0.667742,R,,
0.668001,7,,
0.668259,E,,
0.668518,0,,
0.668777,1,,
0.669036,0,,
0.669295,0,,
0.669554,\r,,
0.669813,\n,,
0.676902,S,,
0.677161,W,,
0.67742,D,,
0.677679,R,,
0.677938,7,,
0.678197,F,,
0.678455,0,,
0.678715,1,,
0.678974,0,,
0.679233,0,,
0.679491,\r,,
0.67975,\n,,
0.68686,S,,
0.687119,W,,
0.687378,D,,
0.687637,R,,
0.687896,7,,
0.688154,E,,
0.688413,0,,
0.688672,1,,
0.688931,0,,
0.68919,0,,
0.689449,\r,,
0.689708,\n,,
0.736648,S,,
0.736907,W,,
0.737166,D,,
0.737425,R,,
0.737684,7,,
0.737943,D,,
0.738202,0,,
0.738461,1,,
0.73872,0,,
0.738978,0,,
0.739237,\r,,
0.739496,\n,,
0.746606,S,,
0.746865,W,,
0.747124,D,,
0.747383,R,,
0.747642,7,,
0.747901,E,,
0.74816,0,,
0.748419,1,,
0.748678,0,,
0.748937,0,,
0.749195,\r,,
0.749454,\n,,
0.756566,S,,
0.756825,W,,
0.757084,D,,
0.757343,R,,
0.757602,7,,
0.757861,D,,
0.758119,0,,
0.758378,1,,
0.758637,0,,
0.758896,0,,
0.759155,\r,,
0.759414,\n,,
0.766534,S,,
0.766793,W,,
0.767052,D,,
0.76731,R,,
0.767569,7,,
0.767828,E,,
0.768087,0,,
0.768346,1,,
0.768605,0,,
0.768865,0,,
0.769124,\r,,
0.769382,\n,,
0.77648,S,,
0.776739,W,,
0.776998,D,,
0.777257,R,,
0.777516,7,,
0.777775,D,,
0.778034,0,,
0.778293,1,,
0.778552,0,,
0.778811,0,,
0.779069,\r,,
