Time [s],Value,Parity Error,Framing Error
0.033855,L,,
0.034115,C,,
0.034375,S,,
0.034636,A,,
0.034896,'250',,
0.035156,Q,,
0.035416,'160',,
0.035676,'0',,
0.035936,\n,,
0.036196,h,,
0.036456,'29',,
0.036716,'232',,
0.036976,'30',,
0.037236,'185',,
0.037496,'155',,
0.037756,'232',,
0.038016,'31',,
0.038276,'248',,
0.038536,'0',,
0.038796,'0',,
0.039056,'0',,
0.039316,'0',,
0.039576,'225',,
0.039836,'142',,
0.040096,a,,
0.040356,'141',,
0.040616,'225',,
0.040876,'140',,
0.041136,'176',,
0.041396,'139',,
0.041656,'19',,
0.041916,'140',,
0.042176,'4',,
0.042436,'8',,
0.096268,L,,
0.096528,C,,
0.096788,S,,
0.097048,A,,
0.097308,'250',,
0.097568,Q,,
0.097828,'160',,
0.098088,'0',,
0.098348,\n,,
0.098608,h,,
0.098868,'29',,
0.099128,'232',,
0.099388,'30',,
0.099648,'185',,
0.099908,'155',,
0.100168,'232',,
0.100428,'31',,
0.100688,'248',,
0.100949,'0',,
0.101209,'0',,
0.101469,'0',,
0.101729,'0',,
0.101989,'160',,
0.102249,'128',,
0.102509,a,,
0.102769,'141',,
0.103029,'225',,
0.103289,'140',,
0.103549,'176',,
0.103809,'139',,
0.104069,'19',,
0.104329,'140',,
0.104589,'4',,
0.104849,'8',,
0.146274,L,,
0.146534,C,,
0.146794,S,,
0.147054,A,,
0.147314,'250',,
0.147574,Q,,
0.147834,'160',,
0.148094,'0',,
0.148354,\n,,
0.148614,h,,
0.148875,'29',,
0.149135,'232',,
0.149395,'30',,
0.149655,'185',,
0.149915,'155',,
0.150174,'232',,
0.150435,'31',,
0.150695,'248',,
0.150955,'0',,
0.151215,'0',,
0.151475,'0',,
0.151735,'0',,
0.151995,a,,
0.152255,'142',,
0.152515,a,,
0.152775,'141',,
0.153035,'225',,
0.153295,'140',,
0.153555,'176',,
0.153815,'139',,
0.154075,'19',,
0.154335,'140',,
0.154595,'4',,
0.154855,'8',,
0.166275,L,,
0.166535,C,,
0.166795,S,,
0.167055,A,,
0.167315,'250',,
0.167575,Q,,
0.167835,'160',,
0.168095,'0',,
0.168355,\n,,
0.168615,h,,
0.168875,'29',,
0.169135,'232',,
0.169395,'30',,
0.169655,'185',,
0.169916,'155',,
0.170175,'232',,
0.170436,'31',,
0.170696,'248',,
0.170956,'0',,
0.171216,'0',,
0.171476,'0',,
0.171736,'0',,
0.171996,a,,
0.172256,'140',,
0.172516,a,,
0.172776,'141',,
0.173036,'225',,
0.173296,'140',,
0.173556,'176',,
0.173816,'139',,
0.174076,'19',,
0.174336,'140',,
