Time [s],Value,Parity Error,Framing Error
0.863192,S,,
0.863451,W,,
0.86371,D,,
0.863969,S,,
0.864228,0,,
0.864487,0,,
0.864746,0,,
0.865005,0,,
0.865263,0,,
0.865522,0,,
0.865781,4,,
0.86604,0,,
0.866299,0,,
0.866558,1,,
0.866817,0,,
0.867076,0,,
0.867335,\r,,
0.867594,\n,,
0.97272,S,,
0.972979,W,,
0.973238,D,,
0.973497,S,,
0.973756,0,,
0.974015,0,,
0.974274,0,,
0.974532,0,,
0.974791,0,,
0.97505,0,,
0.975309,0,,
0.975568,0,,
0.975827,0,,
0.976086,1,,
0.976345,0,,
0.976604,0,,
0.976863,\r,,
0.977121,\n,,
1.042428,S,,
1.042687,W,,
1.042945,D,,
1.043204,S,,
1.043463,0,,
1.043722,0,,
1.043981,0,,
1.04424,0,,
1.044499,0,,
1.044758,0,,
1.045017,4,,
1.045276,0,,
1.045534,0,,
1.045793,1,,
1.046052,0,,
1.046311,0,,
1.04657,\r,,
1.046829,\n,,
1.132043,S,,
1.132302,W,,
1.132561,D,,
1.13282,S,,
1.133078,0,,
1.133337,0,,
1.133596,0,,
1.133855,0,,
1.134114,0,,
1.134373,0,,
1.134632,0,,
1.134891,0,,
1.13515,0,,
1.135409,1,,
1.135667,0,,
1.135926,0,,
1.136185,\r,,
1.136444,\n,,
1.211705,S,,
1.211964,W,,
1.212223,D,,
1.212482,S,,
1.212741,0,,
1.212999,0,,
1.213258,0,,
1.213517,0,,
1.213776,0,,
1.214035,0,,
1.214294,4,,
1.214553,0,,
1.214812,0,,
1.215071,1,,
1.21533,0,,
1.215588,0,,
1.215847,\r,,
1.216106,\n,,
1.291367,S,,
1.291626,W,,
1.291885,D,,
1.292144,S,,
1.292403,0,,
1.292662,0,,
1.292921,0,,
1.293179,0,,
1.293438,0,,
1.293697,0,,
1.293956,0,,
1.294215,0,,
1.294474,0,,
1.294733,1,,
1.294992,0,,
1.295251,0,,
1.29551,\r,,
1.295769,\n,,
1.371029,S,,
1.371288,W,,
1.371547,D,,
1.371806,S,,
1.372065,0,,
1.372324,0,,
1.372583,0,,
1.372842,0,,
1.373101,0,,
1.37336,0,,
1.373618,4,,
1.373877,0,,
1.374136,0,,
1.374395,1,,
1.374654,0,,
1.374913,0,,
1.375172,\r,,
1.375431,\n,,
1.45069,S,,
1.450949,W,,
1.451208,D,,
1.451467,S,,
1.451726,0,,
1.451985,0,,
1.452244,0,,
1.452502,0,,
1.452761,0,,
1.45302,0,,
1.453279,0,,
1.453538,0,,
1.453797,0,,
1.454056,1,,
1.454315,0,,
1.454574,0,,
1.454833,\r,,
1.455091,\n,,
1.54031,S,,
1.540569,W,,
1.540828,D,,
1.541087,S,,
1.541346,0,,
1.541605,0,,
1.541864,0,,
1.542123,0,,
1.542381,0,,
1.54264,0,,
1.542899,4,,
1.543158,0,,
1.543417,0,,
1.543676,1,,
1.543935,0,,
1.544194,0,,
1.544453,\r,,
1.544712,\n,,
1.610013,S,,
1.610272,W,,
1.610531,D,,
1.61079,S,,
1.611049,0,,
1.611307,0,,
1.611566,0,,
1.611825,0,,
1.612084,0,,
1.612343,0,,
1.612602,0,,
1.612861,0,,
1.61312,0,,
1.613379,1,,
1.613638,0,,
1.613896,0,,
1.614155,\r,,
1.614414,\n,,
1.689677,S,,
1.689936,W,,
1.690195,D,,
1.690454,S,,
1.690712,0,,
1.690971,0,,
1.69123,0,,
1.691489,0,,
1.691748,0,,
1.692007,0,,
1.692266,4,,
1.692525,0,,
1.692784,0,,
1.693043,1,,
1.693301,0,,
1.69356,0,,
1.693819,\r,,
1.694078,\n,,
1.759379,S,,
1.759638,W,,
1.759897,D,,
1.760156,S,,
1.760415,0,,
1.760674,0,,
1.760933,0,,
1.761192,0,,
1.761451,0,,
1.761709,0,,
1.761968,0,,
1.762227,0,,
1.762486,0,,
1.762745,1,,
1.763004,0,,
1.763263,0,,
1.763522,\r,,
1.763781,\n,,
1.829088,S,,
1.829347,W,,
1.829606,D,,
1.829865,S,,
