Time [s],Value,Parity Error,Framing Error
0.214642,L,,
0.214902,C,,
0.215162,S,,
0.215422,A,,
0.215682,'250',,
0.215942,Q,,
0.216202,'160',,
0.216462,'0',,
0.216722,\n,,
0.216982,h,,
0.217242,'29',,
0.217502,'232',,
0.217762,'30',,
0.218022,'185',,
0.218282,'155',,
0.218542,'192',,
0.218802,'15',,
0.219062,'240',,
0.219322,'0',,
0.219582,'0',,
0.219842,'0',,
0.220102,'0',,
0.220362,'169',,
0.220622,'154',,
0.220882,'193',,
0.221142,'135',,
0.221402,a,,
0.221662,'142',,
0.221922,'176',,
0.222182,'139',,
0.222442,'19',,
0.222702,'140',,
0.222962,'4',,
0.223222,'8',,
0.514501,L,,
0.514762,C,,
0.515021,S,,
0.515282,A,,
0.515542,'250',,
0.515802,Q,,
0.516062,'160',,
0.516322,'0',,
0.516582,\n,,
0.516842,h,,
0.517102,'29',,
0.517362,'232',,
0.517622,'30',,
0.517882,'185',,
0.518142,'155',,
0.518402,'192',,
0.518662,'15',,
0.518922,'240',,
0.519182,'0',,
0.519442,'0',,
0.519702,'0',,
0.519962,'0',,
0.520222,'169',,
0.520482,'154',,
0.520742,'193',,
0.521002,'135',,
0.521262,a,,
0.521522,'142',,
0.521782,'176',,
0.522042,'139',,
0.522302,'19',,
0.522562,'140',,
0.522822,'4',,
0.523082,'8',,
0.814703,L,,
0.814963,C,,
0.815223,S,,
0.815483,A,,
0.815743,'250',,
0.816003,Q,,
0.816263,'160',,
0.816523,'0',,
0.816783,\n,,
0.817043,h,,
0.817303,'29',,
0.817563,'232',,
0.817823,'30',,
0.818083,'185',,
0.818343,'155',,
0.818603,'192',,
0.818863,'15',,
0.819123,'240',,
0.819383,'0',,
0.819643,'0',,
0.819903,'0',,
0.820163,'0',,
0.820423,'169',,
0.820683,'154',,
0.820943,'193',,
0.821203,'135',,
0.821463,a,,
0.821723,'142',,
0.821983,'176',,
0.822243,'139',,
0.822503,'19',,
0.822763,'140',,
0.823024,'4',,
0.823284,'8',,
0.986905,L,,
0.987165,C,,
0.987425,S,,
0.987685,A,,
0.987945,'250',,
0.988205,Q,,
0.988465,'160',,
0.988725,'0',,
0.988985,\n,,
0.989245,h,,
0.989505,'29',,
0.989765,'232',,
0.990025,'30',,
0.990285,'185',,
0.990545,'155',,
0.990805,'192',,
0.991065,'15',,
0.991325,'240',,
0.991585,'0',,
0.991845,'0',,
0.992105,'0',,
0.992365,'0',,
0.992625,'169',,
0.992885,'154',,
0.993145,'160',,
0.993405,'1',,
0.993665,a,,
0.993925,'142',,
0.994185,'176',,
0.994445,'139',,
0.994705,'19',,
0.994965,'140',,
0.995225,'4',,
0.995486,'8',,
1.114561,L,,
1.114821,C,,
1.115081,S,,
1.115341,A,,
1.115601,'250',,
1.115861,Q,,
1.116121,'160',,
1.116381,'0',,
1.116641,\n,,
1.116901,h,,
1.117161,'29',,
1.117421,'232',,
1.117681,'30',,
1.117941,'185',,
1.118201,'155',,
1.118461,'192',,
1.118721,'15',,
1.118981,'240',,
1.119241,'0',,
1.119501,'0',,
1.119762,'0',,
1.120022,'0',,
1.120282,'169',,
1.120542,'154',,
1.120802,'160',,
1.121062,'1',,
1.121322,a,,
1.121582,'142',,
1.121842,'176',,
1.122102,'139',,
1.122362,'19',,
1.122622,'140',,
1.122882,'4',,
1.123142,'8',,
1.146798,L,,
1.147058,C,,
1.147318,S,,
1.147578,A,,
1.147838,'250',,
1.148098,Q,,
1.148358,'160',,
1.148618,'0',,
1.148878,\n,,
1.149138,h,,
1.149398,'29',,
1.149658,'232',,
1.149918,'30',,
1.150178,'185',,
1.150438,'155',,
1.150698,'192',,
1.150958,'15',,
1.151218,'240',,
1.151478,'0',,
1.151738,'0',,
1.151998,'0',,
1.152258,'0',,
1.152518,'169',,
1.152778,'154',,
1.153038,'169',,
1.153298,'155',,
1.153558,a,,
1.153818,'142',,
1.154078,'176',,
1.154338,'139',,
1.154598,'19',,
1.154858,'140',,
1.155118,'4',,
1.155379,'8',,
1.306814,L,,
1.307074,C,,
1.307334,S,,
1.307594,A,,
1.307854,'250',,
1.308114,Q,,
1.308374,'160',,
1.308634,'0',,
1.308894,\n,,
1.309154,h,,
1.309414,'29',,
1.309674,'232',,
1.309934,'30',,
1.310195,'185',,
1.310455,'155',,
1.310715,'192',,
1.310975,'15',,
1.311235,'240',,
1.311495,'0',,
1.311755,'0',,
1.312015,'0',,
1.312275,'0',,
1.312535,'169',,
1.312795,'154',,
1.313055,'225',,
1.313315,'141',,
1.313575,a,,
1.313835,'140',,
1.314095,'176',,
1.314355,'139',,
1.314615,'19',,
1.314875,'140',,
1.315135,'4',,
1.315395,'8',,
1.414762,L,,
1.415022,C,,
1.415282,S,,
1.415542,A,,
1.415802,'250',,
1.416062,Q,,
1.416322,'160',,
1.416582,'0',,
1.416842,\n,,
1.417102,h,,
1.417362,'29',,
1.417622,'232',,
1.417883,'30',,
1.418143,'185',,
1.418403,'155',,
1.418663,'192',,
1.418923,'15',,
1.419183,'240',,
1.419443,'0',,
1.419703,'0',,
1.419963,'0',,
1.420223,'0',,
1.420483,'169',,
1.420743,'154',,
1.421003,'225',,
1.421263,'141',,
1.421523,a,,
1.421783,'140',,
1.422043,'176',,
1.422303,'139',,
1.422563,'19',,
1.422823,'140',,
1.423083,'4',,
1.423343,'8',,
1.466953,L,,
1.467213,C,,
1.467473,S,,
1.467733,A,,
1.467993,'250',,
1.468253,Q,,
1.468513,'160',,
1.468773,'0',,
1.469033,\n,,
1.469293,h,,
1.469553,'29',,
1.469813,'232',,
1.470073,'30',,
1.470333,'185',,
1.470593,'155',,
1.470853,'192',,
1.471113,'15',,
1.471373,'240',,
1.471633,'0',,
1.471893,'0',,
1.472153,'0',,
1.472413,'0',,
1.472673,'169',,
1.472933,'154',,
1.473193,'225',,
1.473453,'143',,
1.473713,a,,
1.473973,'140',,
1.474233,'176',,
1.474493,'139',,
1.474753,'19',,
1.475013,'140',,
1.475273,'4',,
1.475533,'8',,
1.626967,L,,
1.627228,C,,
1.627488,S,,
1.627748,A,,
1.628008,'250',,
1.628268,Q,,
1.628528,'160',,
1.628788,'0',,
1.629048,\n,,
1.629308,h,,
1.629568,'29',,
1.629828,'232',,
1.630088,'30',,
1.630348,'185',,
1.630608,'155',,
1.630868,'192',,
1.631128,'15',,
1.631388,'240',,
1.631648,'0',,
1.631908,'0',,
1.632168,'0',,
1.632428,'0',,
1.632688,'169',,
1.632948,'154',,
1.633208,'160',,
1.633468,'129',,
1.633728,a,,
1.633988,'140',,
1.634248,'176',,
1.634508,'139',,
1.634768,'19',,
1.635028,'140',,
1.635288,'4',,
1.635548,'8',,
1.714621,L,,
1.714881,C,,
1.715141,S,,
1.715401,A,,
1.715661,'250',,
1.715921,Q,,
1.716181,'160',,
1.716441,'0',,
1.716701,\n,,
1.716961,h,,
1.717221,'29',,
1.717481,'232',,
1.717741,'30',,
1.718001,'185',,
1.718261,'155',,
1.718521,'192',,
1.718781,'15',,
1.719041,'240',,
1.719301,'0',,
1.719561,'0',,
1.719821,'0',,
1.720081,'0',,
1.720341,'169',,
1.720601,'154',,
1.720861,'160',,
1.721121,'129',,
1.721381,a,,
1.721641,'140',,
1.721901,'176',,
1.722161,'139',,
1.722421,'19',,
1.722681,'140',,
1.722941,'4',,
1.723201,'8',,
1.776859,L,,
1.777119,C,,
1.777379,S,,
1.777639,A,,
1.777899,'250',,
1.778159,Q,,
1.778419,'160',,
1.778679,'0',,
1.778939,\n,,
1.779199,h,,
1.77946,'29',,
1.77972,'232',,
1.77998,'30',,
1.78024,'185',,
1.7805,'155',,
1.78076,'192',,
1.78102,'15',,
1.78128,'240',,
1.78154,'0',,
1.7818,'0',,
1.78206,'0',,
1.78232,'0',,
1.78258,'169',,
1.78284,'154',,
1.7831,a,,
1.78336,'143',,
1.78362,a,,
1.78388,'140',,
1.78414,'176',,
1.7844,'139',,
1.78466,'19',,
1.78492,'140',,
1.78518,'4',,
1.78544,'8',,
1.906872,L,,
1.907132,C,,
1.907392,S,,
1.907652,A,,
1.907912,'250',,
1.908172,Q,,
1.908432,'160',,
1.908692,'0',,
1.908952,\n,,
1.909212,h,,
1.909472,'29',,
1.909732,'232',,
1.909992,'30',,
1.910252,'185',,
1.910512,'155',,
1.910772,'192',,
1.911033,'15',,
1.911293,'240',,
1.911553,'0',,
1.911813,'0',,
1.912073,'0',,
1.912333,'0',,
1.912593,'169',,
1.912853,'154',,
1.913113,a,,
1.913373,'141',,
1.913633,a,,
1.913893,'140',,
1.914153,'176',,
1.914413,'139',,
1.914673,'19',,
1.914933,'140',,
1.915193,'4',,
1.915453,'8',,
2.01482,L,,
2.01508,C,,
2.01534,S,,
2.0156,A,,
2.01586,'250',,
2.01612,Q,,
2.01638,'160',,
2.01664,'0',,
2.0169,\n,,
2.01716,h,,
2.01742,'29',,
2.01768,'232',,
2.01794,'30',,
2.0182,'185',,
2.01846,'155',,
2.01872,'192',,
2.01898,'15',,
2.019241,'240',,
2.019501,'0',,
2.019761,'0',,
2.020021,'0',,
2.020281,'0',,
2.020541,'169',,
2.020801,'154',,
2.021061,a,,
2.021321,'141',,
2.021581,a,,
2.021841,'140',,
2.022101,'176',,
2.022361,'139',,
2.022621,'19',,
2.022881,'140',,
2.023141,'4',,
2.023401,'8',,
2.047011,L,,
2.047271,C,,
2.047531,S,,
2.047791,A,,
2.048051,'250',,
2.048311,Q,,
2.048571,'160',,
2.048831,'0',,
2.049091,\n,,
2.049351,h,,
2.049612,'29',,
2.049872,'232',,
2.050132,'30',,
2.050392,'185',,
2.050652,'155',,
2.050912,'192',,
2.051172,'15',,
2.051432,'240',,
2.051692,'0',,
2.051952,'0',,
2.052212,'0',,
2.052472,'0',,
2.052732,'169',,
2.052992,'154',,
2.053252,'224',,
2.053512,\r,,
2.053772,a,,
2.054032,'140',,
2.054292,'176',,
2.054552,'139',,
2.054812,'19',,
2.055072,'140',,
2.055332,'4',,
2.055592,'8',,
2.187024,L,,
2.187284,C,,
2.187544,S,,
2.187804,A,,
2.188064,'250',,
2.188324,Q,,
2.188584,'160',,
2.188844,'0',,
2.189104,\n,,
2.189364,h,,
2.189624,'29',,
2.189884,'232',,
2.190144,'30',,
2.190404,'185',,
2.190664,'155',,
2.190924,'192',,
2.191184,'15',,
2.191444,'240',,
2.191704,'0',,
2.191964,'0',,
2.192224,'0',,
2.192484,'0',,
2.192744,'169',,
2.193004,'154',,
2.193264,'225',,
2.193524,'133',,
2.193784,a,,
2.194044,'140',,
2.194304,'176',,
2.194564,'139',,
2.194824,'19',,
2.195084,'140',,
2.195345,'4',,
2.195605,'8',,
2.31689,L,,
2.31715,C,,
2.31741,S,,
2.31767,A,,
2.31793,'250',,
2.31819,Q,,
2.31845,'160',,
2.31871,'0',,
2.31897,\n,,
2.31923,h,,
2.31949,'29',,
2.319751,'232',,
2.320011,'30',,
2.320271,'185',,
2.320531,'155',,
2.320791,'192',,
2.321051,'15',,
2.321311,'240',,
2.321571,'0',,
2.321831,'0',,
2.322091,'0',,
2.322351,'0',,
2.322611,'169',,
2.322871,'154',,
2.323131,'193',,
2.323391,'135',,
2.323651,a,,
2.323911,'140',,
2.324171,'176',,
2.324431,'139',,
2.324691,'19',,
2.324951,'140',,
2.325211,'4',,
2.325471,'8',,
