Time [s],Value,Parity Error,Framing Error
0.356912,S,,
0.357171,W,,
0.35743,D,,
0.357689,S,,
0.357948,0,,
0.358207,0,,
0.358466,0,,
0.358725,0,,
0.358984,0,,
0.359243,0,,
0.359501,8,,
0.35976,0,,
0.360019,0,,
0.360278,1,,
0.360537,0,,
0.360796,0,,
0.361055,\r,,
0.361314,\n,,
0.426609,S,,
0.426867,W,,
0.427126,D,,
0.427385,S,,
0.427644,0,,
0.427903,0,,
0.428162,0,,
0.428421,0,,
0.42868,0,,
0.428939,0,,
0.429198,0,,
0.429456,0,,
0.429715,0,,
0.429974,1,,
0.430233,0,,
0.430492,0,,
0.430751,\r,,
0.43101,\n,,
0.476398,S,,
0.476657,W,,
0.476916,D,,
0.477175,S,,
0.477434,0,,
0.477693,0,,
0.477952,0,,
0.478211,0,,
0.47847,0,,
0.478729,0,,
0.478987,8,,
0.479246,0,,
0.479505,0,,
0.479764,1,,
0.480023,0,,
0.480282,0,,
0.480541,\r,,
0.4808,\n,,
0.556057,S,,
0.556316,W,,
0.556575,D,,
0.556834,S,,
0.557093,0,,
0.557352,0,,
0.557611,0,,
0.55787,0,,
0.558129,0,,
0.558387,0,,
0.558646,0,,
0.558905,0,,
0.559164,0,,
0.559423,1,,
0.559682,0,,
0.559941,0,,
0.5602,\r,,
0.560459,\n,,
0.615805,S,,
0.616064,W,,
0.616323,D,,
0.616582,S,,
0.616841,0,,
0.6171,0,,
0.617359,0,,
0.617618,0,,
0.617877,0,,
0.618135,0,,
0.618394,8,,
0.618653,0,,
0.618912,0,,
0.619171,1,,
0.61943,0,,
0.619689,0,,
0.619948,\r,,
0.620207,\n,,
0.685516,S,,
0.685775,W,,
0.686034,D,,
0.686293,S,,
0.686552,0,,
0.686811,0,,
0.68707,0,,
0.687328,0,,
0.687587,0,,
0.687846,0,,
0.688105,0,,
0.688364,0,,
0.688623,0,,
0.688882,1,,
0.689141,0,,
0.6894,0,,
0.689659,\r,,
0.689917,\n,,
0.755214,S,,
0.755473,W,,
0.755732,D,,
0.755991,S,,
0.75625,0,,
0.756508,0,,
0.756767,0,,
0.757026,0,,
0.757285,0,,
0.757544,0,,
0.757803,8,,
0.758062,0,,
0.758321,0,,
0.75858,1,,
0.758839,0,,
0.759097,0,,
0.759356,\r,,
0.759615,\n,,
0.814959,S,,
0.815218,W,,
0.815477,D,,
0.815735,S,,
0.815994,0,,
0.816253,0,,
0.816512,0,,
0.816771,0,,
0.81703,0,,
0.817289,0,,
0.817548,0,,
0.817807,0,,
0.818066,0,,
0.818324,1,,
0.818583,0,,
0.818842,0,,
0.819101,\r,,
0.81936,\n,,
0.874706,S,,
0.874965,W,,
0.875224,D,,
0.875483,S,,
0.875742,0,,
0.876001,0,,
0.87626,0,,
0.876519,0,,
0.876778,0,,
0.877037,0,,
0.877295,8,,
0.877554,0,,
0.877813,0,,
0.878072,1,,
0.878331,0,,
0.87859,0,,
0.878849,\r,,
0.879108,\n,,
0.944409,S,,
0.944668,W,,
0.944926,D,,
0.945185,S,,
0.945444,0,,
0.945703,0,,
0.945962,0,,
0.946221,0,,
0.94648,0,,
0.946739,0,,
0.946998,0,,
0.947257,0,,
0.947515,0,,
0.947774,1,,
0.948033,0,,
0.948292,0,,
0.948551,\r,,
0.94881,\n,,
1.004164,S,,
1.004423,W,,
1.004682,D,,
1.004941,S,,
1.0052,0,,
1.005459,0,,
1.005718,0,,
1.005977,0,,
1.006235,0,,
1.006494,0,,
1.006753,8,,
1.007012,0,,
1.007271,0,,
1.00753,1,,
1.007789,0,,
1.008048,0,,
1.008307,\r,,
1.008566,\n,,
1.063902,S,,
1.064161,W,,
1.06442,D,,
1.064679,S,,
1.064938,0,,
1.065197,0,,
1.065455,0,,
1.065714,0,,
1.065973,0,,
1.066232,0,,
1.066491,0,,
1.06675,0,,
1.067009,0,,
1.067268,1,,
1.067527,0,,
1.067786,0,,
1.068044,\r,,
1.068303,\n,,
1.12365,S,,
1.123908,W,,
1.124167,D,,
1.124426,S,,
1.124685,0,,
1.124944,0,,
1.125203,0,,
1.125462,0,,
1.125721,0,,
1.12598,0,,
1.126239,8,,
1.126497,0,,
1.126756,0,,
1.127015,1,,
1.127274,0,,
1.127533,0,,
1.127792,\r,,
1.128051,\n,,
1.183392,S,,
1.183651,W,,
1.18391,D,,
1.184169,S,,
1.184428,0,,
1.184687,0,,
1.184946,0,,
1.185205,0,,
1.185463,0,,
1.185722,0,,
1.185981,0,,
1.18624,0,,
1.186499,0,,
1.186758,1,,
1.187017,0,,
1.187276,0,,
1.187535,\r,,
1.187793,\n,,
1.243144,S,,
1.243403,W,,
1.243662,D,,
1.243921,S,,
1.24418,0,,
1.244439,0,,
1.244698,0,,
1.244957,0,,
1.245216,0,,
1.245475,0,,
1.245733,8,,
1.245992,0,,
1.246251,0,,
1.24651,1,,
1.246769,0,,
1.247028,0,,
1.247287,\r,,
1.247546,\n,,
1.312843,S,,
1.313102,W,,
1.313361,D,,
1.31362,S,,
1.313879,0,,
1.314138,0,,
1.314397,0,,
1.314656,0,,
1.314915,0,,
1.315173,0,,
1.315432,0,,
1.315691,0,,
1.31595,0,,
1.316209,1,,
1.316468,0,,
1.316727,0,,
1.316986,\r,,
1.317245,\n,,
1.372591,S,,
1.37285,W,,
1.373109,D,,
1.373368,S,,
