Time [s],Value,Parity Error,Framing Error
0.118329,L,,
0.118589,C,,
0.118849,S,,
0.119109,A,,
0.119369,'250',,
0.119629,Q,,
0.119889,'160',,
0.120149,'0',,
0.120409,\n,,
0.120669,h,,
0.12093,'29',,
0.121189,'232',,
0.12145,'30',,
0.12171,'185',,
0.12197,'155',,
0.12223,'192',,
0.12249,'15',,
0.12275,'248',,
0.12301,'0',,
0.12327,'0',,
0.12353,'0',,
0.12379,'0',,
0.12405,'169',,
0.12431,'154',,
0.12457,'225',,
0.12483,'133',,
0.12509,'169',,
0.12535,'154',,
0.12561,'176',,
0.12587,'139',,
0.12613,'19',,
0.12639,'140',,
0.12665,'4',,
0.12691,'8',,
0.187291,L,,
0.187551,C,,
0.187811,S,,
0.188071,A,,
0.188331,'250',,
0.188591,Q,,
0.188851,'160',,
0.189111,'0',,
0.189371,\n,,
0.189632,h,,
0.189892,'29',,
0.190151,'232',,
0.190412,'30',,
0.190672,'185',,
0.190932,'155',,
0.191192,'192',,
0.191452,'15',,
0.191712,'248',,
0.191972,'0',,
0.192232,'0',,
0.192492,'0',,
0.192752,'0',,
0.193012,'169',,
0.193272,'154',,
0.193532,'225',,
0.193792,'133',,
0.194052,'169',,
0.194312,'154',,
0.194572,'176',,
0.194832,'139',,
0.195092,'19',,
0.195352,'140',,
0.195612,'4',,
0.195872,'8',,
0.328227,L,,
0.328487,C,,
0.328747,S,,
0.329007,A,,
0.329267,'250',,
0.329527,Q,,
0.329787,'160',,
0.330047,'0',,
0.330307,\n,,
0.330567,h,,
0.330827,'29',,
0.331087,'232',,
0.331347,'30',,
0.331607,'185',,
0.331867,'155',,
0.332127,'192',,
0.332387,'15',,
0.332647,'240',,
0.332907,'0',,
0.333167,'0',,
0.333427,'0',,
0.333687,'0',,
0.333947,'169',,
0.334207,'154',,
0.334467,'225',,
0.334727,'133',,
0.334987,'169',,
0.335247,'154',,
0.335507,'176',,
0.335768,'139',,
0.336028,'19',,
0.336288,'140',,
0.336548,'4',,
0.336808,'8',,
0.439547,L,,
0.439807,C,,
0.440067,S,,
0.440327,A,,
0.440587,'250',,
0.440847,Q,,
0.441107,'160',,
0.441367,'0',,
0.441627,\n,,
0.441887,h,,
0.442147,'29',,
0.442407,'232',,
0.442667,'30',,
0.442927,'185',,
0.443187,'155',,
0.443447,'192',,
0.443707,'15',,
0.443967,'240',,
0.444227,'0',,
0.444488,'0',,
0.444748,'0',,
0.445008,'0',,
0.445268,'169',,
0.445528,'154',,
0.445788,'224',,
0.446048,\r,,
0.446308,'169',,
0.446568,'154',,
0.446828,'176',,
0.447088,'139',,
0.447348,'19',,
0.447608,'140',,
0.447868,'4',,
0.448128,'8',,
0.487691,L,,
0.487951,C,,
0.488211,S,,
0.488471,A,,
0.488731,'250',,
0.488991,Q,,
0.489251,'160',,
0.489511,'0',,
0.489771,\n,,
0.490031,h,,
0.490291,'29',,
0.490551,'232',,
0.490811,'30',,
0.491071,'185',,
0.491331,'155',,
0.491591,'192',,
0.491851,'15',,
0.492111,'240',,
0.492371,'0',,
0.492631,'0',,
0.492891,'0',,
0.493151,'0',,
0.493411,'169',,
0.493671,'154',,
0.493931,'224',,
0.494191,\r,,
0.494451,'169',,
0.494711,'154',,
0.494971,'176',,
0.495232,'139',,
0.495492,'19',,
0.495752,'140',,
0.496012,'4',,
0.496272,'8',,
0.569682,L,,
0.569942,C,,
0.570202,S,,
0.570462,A,,
0.570722,'250',,
0.570982,Q,,
0.571242,'160',,
0.571502,'0',,
0.571762,\n,,
0.572022,h,,
0.572282,'29',,
0.572542,'232',,
0.572802,'30',,
0.573062,'185',,
0.573322,'155',,
0.573582,'192',,
0.573842,'15',,
0.574102,'240',,
0.574362,'0',,
0.574622,'0',,
0.574882,'0',,
0.575142,'0',,
0.575402,'169',,
0.575662,'154',,
0.575922,a,,
0.576182,'141',,
0.576442,'169',,
0.576702,'154',,
0.576962,'176',,
0.577222,'139',,
0.577482,'19',,
0.577743,'140',,
0.578003,'4',,
0.578263,'8',,
0.699704,L,,
0.699964,C,,
0.700224,S,,
0.700484,A,,
0.700744,'250',,
0.701004,Q,,
0.701264,'160',,
0.701524,'0',,
0.701784,\n,,
0.702045,h,,
0.702305,'29',,
0.702565,'232',,
0.702825,'30',,
0.703085,'185',,
0.703345,'155',,
0.703605,'192',,
0.703865,'15',,
0.704125,'240',,
0.704385,'0',,
0.704645,'0',,
0.704905,'0',,
0.705165,'0',,
0.705425,'169',,
0.705685,'154',,
0.705945,a,,
0.706205,'143',,
0.706465,'169',,
0.706725,'154',,
0.706985,'176',,
0.707245,'139',,
0.707505,'19',,
0.707765,'140',,
0.708025,'4',,
0.708285,'8',,
0.787349,L,,
0.787609,C,,
0.787869,S,,
0.788129,A,,
0.788389,'250',,
