Time [s],Value,Parity Error,Framing Error
1.593037,S,,
1.593296,W,,
1.593555,D,,
1.593814,V,,
1.594073,5,,
1.594332,3,,
1.59459,4,,
1.594849,B,,
1.595108,1,,
1.595367,E,,
1.595626,0,,
1.595885,0,,
1.596144,0,,
1.596403,1,,
1.596662,0,,
1.596921,0,,
1.597179,\r,,
1.597438,\n,,
1.612953,S,,
1.613212,W,,
1.613471,D,,
1.61373,V,,
1.613989,5,,
1.614247,3,,
1.614506,4,,
1.614765,B,,
1.615024,1,,
1.615283,F,,
1.615542,0,,
1.615801,0,,
1.61606,0,,
1.616319,1,,
1.616578,0,,
1.616836,0,,
1.617095,\r,,
1.617354,\n,,
1.802136,S,,
1.802395,W,,
1.802654,D,,
1.802913,S,,
1.803172,4,,
1.80343,0,,
1.803689,0,,
1.803948,0,,
1.804207,0,,
1.804466,0,,
1.804725,0,,
1.804984,0,,
1.805243,0,,
1.805502,1,,
1.805761,0,,
1.80602,0,,
1.806278,\r,,
1.806537,\n,,
2.070994,S,,
2.071253,W,,
2.071512,D,,
2.071771,S,,
2.07203,0,,
2.072288,0,,
2.072547,0,,
2.072806,0,,
2.073065,0,,
2.073324,0,,
2.073583,0,,
2.073842,0,,
2.074101,0,,
2.07436,1,,
2.074619,0,,
2.074877,0,,
2.075136,\r,,
2.075395,\n,,
2.658499,S,,
2.658758,W,,
2.659017,D,,
2.659276,S,,
2.659535,2,,
2.659793,0,,
2.660052,0,,
2.660311,0,,
2.66057,0,,
2.660829,0,,
2.661088,0,,
2.661347,0,,
2.661606,0,,
2.661865,1,,
2.662124,0,,
2.662382,0,,
2.662641,\r,,
2.6629,\n,,
2.917397,S,,
2.917656,W,,
2.917915,D,,
2.918174,S,,
2.918432,0,,
2.918691,0,,
2.91895,0,,
2.919209,0,,
2.919468,0,,
2.919727,0,,
2.919986,0,,
2.920245,0,,
2.920504,0,,
2.920763,1,,
2.921021,0,,
2.92128,0,,
2.921539,\r,,
2.921798,\n,,
3.44518,S,,
3.445439,W,,
3.445697,D,,
3.445956,S,,
3.446215,1,,
3.446474,0,,
3.446733,0,,
3.446992,0,,
3.447251,0,,
3.44751,0,,
3.447769,0,,
3.448027,0,,
3.448286,0,,
3.448545,1,,
3.448804,0,,
3.449063,0,,
3.449322,\r,,
3.449581,\n,,
3.664221,S,,
3.66448,W,,
3.664739,D,,
3.664998,S,,
3.665257,0,,
3.665516,0,,
3.665775,0,,
3.666034,0,,
3.666293,0,,
3.666551,0,,
3.66681,0,,
3.667069,0,,
3.667328,0,,
3.667587,1,,
3.667846,0,,
3.668105,0,,
3.668364,\r,,
3.668623,\n,,
4.182022,S,,
4.182281,W,,
4.18254,D,,
4.182799,S,,
4.183058,0,,
4.183317,8,,
4.183576,0,,
4.183834,0,,
4.184093,0,,
4.184352,0,,
4.184611,0,,
4.18487,0,,
4.185129,0,,
4.185388,1,,
4.185647,0,,
4.185906,0,,
4.186165,\r,,
4.186423,\n,,
4.44092,S,,
4.441178,W,,
4.441437,D,,
4.441696,S,,
4.441955,0,,
4.442214,0,,
4.442473,0,,
4.442732,0,,
4.442991,0,,
4.44325,0,,
4.443508,0,,
4.443767,0,,
4.444026,0,,
4.444285,1,,
4.444544,0,,
4.444803,0,,
4.445062,\r,,
4.445321,\n,,
4.620171,S,,
4.62043,W,,
4.620688,D,,
4.620947,V,,
4.621206,5,,
4.621465,3,,
4.621724,4,,
4.621983,A,,
4.622242,1,,
4.622501,F,,
4.62276,0,,
4.623019,0,,
4.623277,0,,
4.623536,1,,
4.623795,0,,
4.624054,0,,
4.624313,\r,,
4.624572,\n,,
4.63013,S,,
4.630389,W,,
4.630648,D,,
4.630907,V,,
4.631166,5,,
4.631425,3,,
4.631683,4,,
4.631942,B,,
4.632201,1,,
4.63246,F,,
4.632719,0,,
4.632978,0,,
4.633237,0,,
4.633496,1,,
4.633755,0,,
4.634014,0,,
4.634272,\r,,
4.634531,\n,,
5.118037,S,,
5.118296,W,,
5.118555,D,,
5.118814,S,,
5.119073,0,,
5.119332,4,,
5.119591,0,,
5.119849,0,,
5.120108,0,,
5.120367,0,,
5.120626,0,,
5.120885,0,,
5.121144,0,,
5.121403,1,,
5.121662,0,,
5.121921,0,,
5.122179,\r,,
5.122438,\n,,
5.297274,S,,
5.297533,W,,
5.297792,D,,
5.298051,S,,
5.29831,0,,
5.298569,0,,
5.298827,0,,
5.299086,0,,
5.299345,0,,
5.299604,0,,
5.299863,0,,
5.300122,0,,
5.300381,0,,
5.30064,1,,
5.300899,0,,
5.301158,0,,
5.301417,\r,,
5.301675,\n,,
5.805121,S,,
5.80538,W,,
5.805639,D,,
5.805898,S,,
5.806157,0,,
5.806416,2,,
5.806674,0,,
5.806933,0,,
5.807192,0,,
5.807451,0,,
5.80771,0,,
5.807969,0,,
5.808228,0,,
5.808487,1,,
5.808746,0,,
5.809004,0,,
5.809263,\r,,
5.809522,\n,,
5.964443,S,,
5.964702,W,,
5.964961,D,,
5.96522,S,,
5.965479,0,,
5.965738,0,,
5.965996,0,,
5.966255,0,,
5.966514,0,,
5.966773,0,,
5.967032,0,,
5.967291,0,,
5.96755,0,,
5.967809,1,,
5.968068,0,,
5.968327,0,,
5.968585,\r,,
5.968844,\n,,
6.482239,S,,
6.482498,W,,
6.482757,D,,
6.483016,S,,
6.483275,0,,
6.483533,1,,
6.483792,0,,
6.484051,0,,
6.48431,0,,
6.484569,0,,
6.484828,0,,
6.485087,0,,
6.485346,0,,
6.485605,1,,
6.485864,0,,
6.486122,0,,
6.486381,\r,,
6.48664,\n,,
6.661474,S,,
6.661733,W,,
6.661991,D,,
6.66225,S,,
6.662509,0,,
6.662768,0,,
6.663027,0,,
6.663286,0,,
6.663545,0,,
6.663804,0,,
6.664063,0,,
6.664322,0,,
6.66458,0,,
6.664839,1,,
6.665098,0,,
6.665357,0,,
6.665616,\r,,
6.665875,\n,,
7.119539,S,,
7.119798,W,,
7.120057,D,,
7.120316,V,,
7.120575,5,,
7.120833,3,,
7.121092,4,,
7.121351,B,,
7.12161,1,,
7.121869,E,,
7.122128,0,,
7.122387,0,,
7.122646,0,,
7.122905,1,,
7.123164,0,,
7.123423,0,,
7.123681,\r,,
7.12394,\n,,
7.129497,S,,
7.129756,W,,
7.130015,D,,
7.130274,V,,
7.130533,5,,
7.130791,3,,
7.13105,4,,
7.131309,B,,
7.131568,1,,
7.131827,F,,
7.132086,0,,
7.132345,0,,
7.132604,0,,
7.132863,1,,
7.133122,0,,
7.13338,0,,
7.133639,\r,,
