Time [s],Value,Parity Error,Framing Error
0.140587,L,,
0.140847,C,,
0.141107,S,,
0.141367,A,,
0.141627,'250',,
0.141887,Q,,
0.142147,'160',,
0.142407,'0',,
0.142667,\n,,
0.142927,h,,
0.143187,'29',,
0.143447,'232',,
0.143707,'30',,
0.143967,'185',,
0.144227,'155',,
0.144487,'192',,
0.144748,'15',,
0.145008,'252',,
0.145268,'0',,
0.145528,'0',,
0.145788,'0',,
0.146048,'0',,
0.146308,'160',,
0.146568,'128',,
0.146828,'169',,
0.147088,'155',,
0.147348,'160',,
0.147608,'128',,
0.147868,'176',,
0.148128,'139',,
0.148388,'19',,
0.148648,'140',,
0.148908,'4',,
0.149168,'8',,
0.201518,L,,
0.201778,C,,
0.202038,S,,
0.202298,A,,
0.202558,'250',,
0.202818,Q,,
0.203078,'160',,
0.203338,'0',,
0.203598,\n,,
0.203858,h,,
0.204118,'29',,
0.204378,'232',,
0.204638,'30',,
0.204898,'185',,
0.205158,'155',,
0.205418,'192',,
0.205678,'15',,
0.205938,'248',,
0.206198,'0',,
0.206458,'0',,
0.206718,'0',,
0.206978,'0',,
0.207238,'160',,
0.207498,'128',,
0.207758,'169',,
0.208018,'155',,
0.208278,'160',,
0.208538,'128',,
0.208798,'176',,
0.209058,'139',,
0.209318,'19',,
0.209578,'140',,
0.209838,'4',,
0.210098,'8',,
0.291527,L,,
0.291787,C,,
0.292047,S,,
0.292307,A,,
0.292567,'250',,
0.292827,Q,,
0.293087,'160',,
0.293347,'0',,
0.293607,\n,,
0.293867,h,,
0.294127,'29',,
0.294387,'232',,
0.294647,'30',,
0.294907,'185',,
0.295167,'155',,
0.295428,'192',,
0.295688,'15',,
0.295948,'252',,
0.296208,'0',,
0.296468,'0',,
0.296728,'0',,
0.296988,'0',,
0.297248,'160',,
0.297508,'128',,
0.297768,'169',,
0.298028,'155',,
0.298288,'160',,
0.298548,'128',,
0.298808,'176',,
0.299068,'139',,
0.299328,'19',,
0.299588,'140',,
0.299848,'4',,
0.300108,'8',,
0.431541,L,,
0.431801,C,,
0.432061,S,,
0.432321,A,,
0.432581,'250',,
0.432841,Q,,
0.433101,'160',,
0.433361,'0',,
0.433621,\n,,
0.433881,h,,
0.434142,'29',,
0.434402,'232',,
0.434662,'30',,
0.434922,'185',,
0.435182,'155',,
0.435442,'192',,
0.435702,'15',,
0.435962,'248',,
0.436222,'0',,
0.436482,'0',,
0.436742,'0',,
0.437002,'0',,
0.437262,'160',,
0.437522,'128',,
0.437782,'169',,
0.438042,'155',,
0.438302,'160',,
0.438562,'128',,
0.438822,'176',,
0.439082,'139',,
0.439342,'19',,
0.439602,'140',,
0.439862,'4',,
0.440122,'8',,
0.440788,L,,
0.441048,C,,
0.441308,S,,
0.441568,A,,
0.441829,'250',,
0.442089,Q,,
0.442349,'160',,
0.442609,'0',,
0.442869,\n,,
0.443129,h,,
0.443389,'29',,
0.443649,'232',,
0.443909,'30',,
0.444169,'185',,
0.444429,'155',,
0.444689,'192',,
0.444949,'15',,
0.445209,'248',,
0.445469,'0',,
0.445729,'0',,
0.445989,'0',,
