Time [s],Value,Parity Error,Framing Error
0.76882,S,,
0.769079,W,,
0.769338,D,,
0.769597,V,,
0.769856,5,,
0.770114,3,,
0.770373,7,,
0.770632,E,,
0.770891,1,,
0.77115,F,,
0.771409,1,,
0.771668,8,,
0.771927,0,,
0.772186,1,,
0.772445,0,,
0.772703,0,,
0.772962,\r,,
0.773221,\n,,
0.778777,S,,
0.779035,W,,
0.779294,D,,
0.779553,V,,
0.779812,5,,
0.780071,5,,
0.78033,7,,
0.780589,E,,
0.780848,1,,
0.781107,F,,
0.781366,1,,
0.781624,8,,
0.781883,0,,
0.782142,1,,
0.782401,0,,
0.78266,0,,
0.782919,\r,,
0.783178,\n,,
0.788735,S,,
0.788994,W,,
0.789253,D,,
0.789511,V,,
0.78977,5,,
0.790029,4,,
0.790288,7,,
0.790547,E,,
0.790806,1,,
0.791065,F,,
0.791324,1,,
0.791583,8,,
0.791842,0,,
0.7921,1,,
0.792359,0,,
0.792618,0,,
0.792877,\r,,
0.793136,\n,,
3.437542,S,,
3.437801,W,,
3.43806,D,,
3.438319,S,,
3.438578,0,,
3.438837,0,,
3.439096,0,,
3.439355,0,,
3.439614,8,,
3.439873,0,,
3.440131,0,,
3.44039,0,,
3.440649,0,,
3.440908,1,,
3.441167,0,,
3.441426,0,,
3.441685,\r,,
3.441944,\n,,
3.656616,S,,
3.656875,W,,
3.657134,D,,
3.657393,S,,
3.657652,0,,
3.657911,0,,
3.65817,0,,
3.658429,0,,
3.658688,0,,
3.658947,0,,
3.659205,0,,
3.659464,0,,
3.659723,0,,
3.659982,1,,
3.660241,0,,
3.6605,0,,
3.660759,\r,,
3.661018,\n,,
4.921278,S,,
4.921537,W,,
4.921796,D,,
4.922055,S,,
4.922314,0,,
4.922573,0,,
4.922832,0,,
4.923091,0,,
4.92335,8,,
4.923609,0,,
4.923867,0,,
4.924126,0,,
4.924385,0,,
4.924644,1,,
4.924903,0,,
4.925162,0,,
4.925421,\r,,
4.92568,\n,,
5.080611,S,,
5.08087,W,,
5.081129,D,,
5.081388,S,,
5.081647,0,,
5.081906,0,,
5.082165,0,,
5.082424,0,,
5.082683,0,,
5.082942,0,,
5.0832,0,,
5.083459,0,,
5.083718,0,,
5.083977,1,,
5.084236,0,,
5.084495,0,,
5.084754,\r,,
5.085013,\n,,
6.006697,S,,
6.006956,W,,
6.007215,D,,
6.007474,S,,
6.007733,0,,
6.007991,0,,
6.00825,0,,
6.008509,0,,
6.008768,8,,
6.009027,0,,
6.009286,0,,
6.009545,0,,
6.009804,0,,
6.010063,1,,
6.010322,0,,
6.01058,0,,
6.010839,\r,,
6.011098,\n,,
6.205855,S,,
6.206114,W,,
6.206372,D,,
6.206631,S,,
6.20689,0,,
6.207149,0,,
6.207408,0,,
6.207667,0,,
6.207926,0,,
6.208185,0,,
6.208444,0,,
6.208703,0,,
6.208961,0,,
6.20922,1,,
6.209479,0,,
6.209738,0,,
6.209997,\r,,
6.210256,\n,,
7.251451,S,,
7.251709,W,,
7.251968,D,,
7.252227,S,,
7.252486,0,,
7.252745,0,,
7.253004,0,,
7.253263,0,,
7.253522,8,,
7.253781,0,,
7.25404,0,,
7.254298,0,,
7.254557,0,,
7.254816,1,,
7.255075,0,,
7.255334,0,,
7.255593,\r,,
7.255852,\n,,
7.400809,S,,
7.401068,W,,
7.401327,D,,
7.401586,S,,
7.401845,0,,
7.402104,0,,
7.402363,0,,
7.402622,0,,
7.40288,0,,
7.403139,0,,
7.403398,0,,
7.403657,0,,
7.403916,0,,
7.404175,1,,
7.404434,0,,
7.404693,0,,
7.404952,\r,,
7.405211,\n,,
7.649768,S,,
7.650027,W,,
7.650286,D,,
7.650545,V,,
7.650804,5,,
7.651062,4,,
7.651321,7,,
7.65158,E,,
7.651839,1,,
7.652098,E,,
7.652357,1,,
7.652616,8,,
7.652875,0,,
7.653134,1,,
7.653393,0,,
7.653652,0,,
7.65391,\r,,
7.654169,\n,,
7.659726,S,,
7.659985,W,,
7.660244,D,,
7.660503,V,,
7.660762,5,,
7.661021,4,,
7.66128,7,,
7.661539,E,,
7.661797,1,,
7.662056,F,,
7.662315,1,,
7.662574,8,,
7.662833,0,,
7.663092,1,,
7.663351,0,,
7.66361,0,,
7.663869,\r,,
7.664128,\n,,
8.237283,S,,
8.237542,W,,
8.237801,D,,
8.23806,S,,
8.238319,0,,
8.238578,0,,
8.238837,0,,
8.239096,0,,
8.239355,8,,
8.239613,0,,
8.239872,0,,
8.240131,0,,
8.24039,0,,
8.240649,1,,
8.240908,0,,
8.241167,0,,
8.241426,\r,,
8.241685,\n,,
8.436469,S,,
8.436728,W,,
8.436986,D,,
8.437246,S,,
8.437504,0,,
8.437764,0,,
8.438022,0,,
8.438281,0,,
8.43854,0,,
8.438799,0,,
8.439058,0,,
8.439317,0,,
8.439576,0,,
8.439834,1,,
8.440093,0,,
8.440352,0,,
8.440611,\r,,
8.44087,\n,,
9.362529,S,,
9.362788,W,,
9.363047,D,,
9.363306,S,,
9.363565,0,,
9.363824,0,,
9.364083,0,,
9.364341,0,,
9.3646,8,,
9.364859,0,,
9.365118,0,,
9.365377,0,,
9.365636,0,,
9.365895,1,,
9.366154,0,,
9.366413,0,,
9.366672,\r,,
9.366931,\n,,
9.531814,S,,
9.532073,W,,
9.532332,D,,
9.532591,S,,
9.53285,0,,
9.533109,0,,
9.533368,0,,
9.533626,0,,
9.533885,0,,
9.534144,0,,
9.534403,0,,
9.534662,0,,
9.534921,0,,
9.53518,1,,
9.535439,0,,
9.535698,0,,
9.535957,\r,,
9.536216,\n,,
10.368285,S,,
10.368544,W,,
10.368803,D,,
10.369062,S,,
10.36932,0,,
10.369579,0,,
10.369838,0,,
10.370097,0,,
10.370356,8,,
10.370615,0,,
10.370874,0,,
10.371133,0,,
10.371392,0,,
10.371651,1,,
10.371909,0,,
10.372168,0,,
10.372427,\r,,
10.372686,\n,,
10.547529,S,,
10.547788,W,,
10.548047,D,,
10.548306,S,,
10.548565,0,,
10.548824,0,,
10.549083,0,,
10.549341,0,,
10.5496,0,,
10.549859,0,,
10.550118,0,,
10.550377,0,,
10.550636,0,,
10.550895,1,,
10.551154,0,,
10.551413,0,,
10.551672,\r,,
10.55193,\n,,
11.304342,S,,
11.304601,W,,
11.30486,D,,
11.305119,V,,
11.305378,5,,
11.305637,4,,
11.305896,7,,
11.306155,D,,
11.306414,1,,
11.306672,F,,
11.306931,1,,
11.30719,8,,
11.307449,0,,
11.307708,1,,
11.307967,0,,
11.308226,0,,
11.308485,\r,,
11.308744,\n,,
