Time [s],Value,Parity Error,Framing Error
0.032841,L,,
0.033101,C,,
0.033361,S,,
0.033621,A,,
0.033881,'177',,
0.034141,*,,
0.034401,'160',,
0.034661,'0',,
0.034921,\n,,
0.035181,'0',,
0.035441,'1',,
0.035701,h,,
0.035961,'28',,
0.036221,'208',,
0.036481,'15',,
0.036741,'200',,
0.037001,'23',,
0.037261,'0',,
0.037521,'0',,
0.037781,'0',,
0.038041,'0',,
0.038302,'0',,
0.038561,'169',,
0.038822,'154',,
0.039082,a,,
0.039342,'143',,
0.039602,'160',,
0.039862,'128',,
0.040122,'0',,
0.040382,'1',,
0.040642,'8',,
0.040902,'30',,
0.041162,'4',,
0.041422,'8',,
0.3327,L,,
0.33296,C,,
0.33322,S,,
0.33348,A,,
0.33374,'177',,
0.334,*,,
0.33426,'160',,
0.33452,'0',,
0.33478,\n,,
0.33504,'0',,
0.3353,'1',,
0.33556,h,,
0.33582,'28',,
0.33608,'208',,
0.33634,'15',,
0.3366,'200',,
0.33686,'23',,
0.33712,'0',,
0.33738,'0',,
0.33764,'0',,
0.3379,'0',,
0.33816,'0',,
0.33842,'169',,
0.33868,'154',,
0.33894,a,,
0.3392,'143',,
0.33946,'160',,
0.33972,'128',,
0.33998,'0',,
0.34024,'1',,
0.3405,'8',,
0.34076,'30',,
0.34102,'4',,
0.341281,'8',,
0.632901,L,,
0.633161,C,,
0.633421,S,,
0.633681,A,,
0.633941,'177',,
0.634201,*,,
0.634461,'160',,
0.634721,'0',,
0.634981,\n,,
0.635241,'0',,
0.635501,'1',,
0.635761,h,,
0.636022,'28',,
0.636282,'208',,
0.636542,'15',,
0.636802,'200',,
0.637062,'23',,
0.637322,'0',,
0.637582,'0',,
0.637842,'0',,
0.638102,'0',,
0.638362,'0',,
0.638622,'169',,
0.638882,'154',,
0.639142,a,,
0.639402,'143',,
0.639662,'160',,
0.639922,'128',,
0.640182,'0',,
0.640442,'1',,
0.640702,'8',,
0.640962,'30',,
0.641222,'4',,
0.641482,'8',,
0.93276,L,,
0.93302,C,,
0.93328,S,,
0.93354,A,,
0.9338,'177',,
0.93406,*,,
0.93432,'160',,
0.93458,'0',,
0.93484,\n,,
0.9351,'0',,
0.93536,'1',,
0.93562,h,,
0.93588,'28',,
0.93614,'208',,
0.9364,'15',,
0.93666,'200',,
0.93692,'23',,
0.93718,'0',,
0.93744,'0',,
0.9377,'0',,
0.93796,'0',,
0.93822,'0',,
0.93848,'169',,
0.93874,'154',,
0.939,a,,
0.939261,'143',,
0.939521,'160',,
0.939781,'128',,
0.940041,'0',,
0.940301,'1',,
0.940561,'8',,
0.940821,'30',,
0.941081,'4',,
0.941341,'8',,
1.23296,L,,
1.23322,C,,
1.23348,S,,
1.23374,A,,
1.234,'177',,
1.23426,*,,
1.23452,'160',,
1.23478,'0',,
1.23504,\n,,
1.2353,'0',,
1.23556,'1',,
1.23582,h,,
1.23608,'28',,
1.23634,'208',,
1.2366,'15',,
1.23686,'200',,
1.23712,'23',,
1.23738,'0',,
1.23764,'0',,
1.2379,'0',,
1.23816,'0',,
1.23842,'0',,
1.23868,'169',,
1.23894,'154',,
1.2392,a,,
1.23946,'143',,
1.23972,'160',,
1.239981,'128',,
1.240241,'0',,
1.240501,'1',,
1.240761,'8',,
1.241021,'30',,
1.241281,'4',,
1.241541,'8',,
1.532818,L,,
1.533078,C,,
1.533338,S,,
1.533598,A,,
1.533859,'177',,
1.534119,*,,
1.534379,'160',,
1.534639,'0',,
1.534899,\n,,
1.535159,'0',,
1.535419,'1',,
1.535679,h,,
1.535939,'28',,
1.536199,'208',,
1.536459,'15',,
1.536719,'200',,
1.536979,'23',,
1.537239,'0',,
1.537499,'0',,
1.537759,'0',,
1.538019,'0',,
1.538279,'0',,
1.538539,'169',,
1.538799,'154',,
1.539059,a,,
1.539319,'143',,
1.539579,'160',,
1.539839,'128',,
1.540099,'0',,
1.540359,'1',,
1.540619,'8',,
1.540879,'30',,
1.541139,'4',,
1.541399,'8',,
1.83302,L,,
1.83328,C,,
1.83354,S,,
1.8338,A,,
1.83406,'177',,
1.83432,*,,
1.83458,'160',,
1.83484,'0',,
1.8351,\n,,
1.83536,'0',,
1.83562,'1',,
1.83588,h,,
1.83614,'28',,
1.8364,'208',,
1.83666,'15',,
1.83692,'200',,
1.83718,'23',,
1.83744,'0',,
1.8377,'0',,
1.837961,'0',,
1.838221,'0',,
1.838481,'0',,
1.838741,'169',,
1.839001,'154',,
1.839261,a,,
1.839521,'143',,
1.839781,'160',,
1.840041,'128',,
1.840301,'0',,
1.840561,'1',,
1.840821,'8',,
1.841081,'30',,
1.841341,'4',,
1.841601,'8',,
2.132877,L,,
2.133137,C,,
2.133397,S,,
2.133657,A,,
2.133917,'177',,
2.134177,*,,
2.134437,'160',,
2.134697,'0',,
2.134957,\n,,
2.135217,'0',,
2.135477,'1',,
2.135737,h,,
2.135997,'28',,
2.136257,'208',,
2.136517,'15',,
2.136777,'200',,
2.137037,'23',,
2.137297,'0',,
2.137557,'0',,
2.137817,'0',,
2.138078,'0',,
2.138338,'0',,
2.138598,'169',,
2.138858,'154',,
2.139118,a,,
2.139378,'143',,
2.139638,'160',,
2.139898,'128',,
2.140158,'0',,
2.140418,'1',,
2.140678,'8',,
2.140938,'30',,
2.141198,'4',,
2.141458,'8',,
2.433082,L,,
2.433342,C,,
2.433602,S,,
2.433862,A,,
2.434122,'177',,
2.434382,*,,
2.434642,'160',,
2.434902,'0',,
2.435162,\n,,
2.435422,'0',,
2.435682,'1',,
2.435942,h,,
2.436202,'28',,
2.436462,'208',,
2.436722,'15',,
2.436982,'200',,
2.437242,'23',,
2.437502,'0',,
2.437762,'0',,
2.438022,'0',,
2.438282,'0',,
2.438542,'0',,
2.438802,'169',,
2.439062,'154',,
2.439322,a,,
2.439582,'143',,
2.439843,'160',,
2.440103,'128',,
2.440363,'0',,
2.440623,'1',,
2.440883,'8',,
2.441143,'30',,
2.441403,'4',,
2.441663,'8',,
2.732937,L,,
2.733197,C,,
2.733457,S,,
2.733717,A,,
2.733977,'177',,
2.734237,*,,
2.734497,'160',,
2.734757,'0',,
2.735017,\n,,
2.735277,'0',,
2.735537,'1',,
2.735798,h,,
2.736058,'28',,
2.736318,'208',,
2.736578,'15',,
2.736838,'200',,
2.737098,'23',,
2.737358,'0',,
2.737618,'0',,
2.737878,'0',,
2.738138,'0',,
2.738398,'0',,
2.738658,'169',,
2.738918,'154',,
2.739178,a,,
2.739438,'143',,
2.739698,'160',,
2.739958,'128',,
2.740218,'0',,
2.740478,'1',,
2.740738,'8',,
2.740998,'30',,
2.741258,'4',,
2.741518,'8',,
3.033142,L,,
3.033402,C,,
3.033662,S,,
3.033922,A,,
3.034182,'177',,
3.034442,*,,
3.034702,'160',,
3.034962,'0',,
3.035222,\n,,
3.035482,'0',,
3.035742,'1',,
3.036002,h,,
3.036262,'28',,
3.036522,'208',,
3.036782,'15',,
3.037042,'200',,
3.037302,'23',,
3.037562,'0',,
3.037822,'0',,
3.038083,'0',,
3.038343,'0',,
3.038603,'0',,
3.038863,'169',,
3.039123,'154',,
3.039383,a,,
3.039643,'143',,
3.039903,'160',,
3.040163,'128',,
3.040423,'0',,
3.040683,'1',,
3.040943,'8',,
3.041203,'30',,
3.041463,'4',,
3.041723,'8',,
3.332999,L,,
3.333259,C,,
3.333519,S,,
3.333779,A,,
3.334039,'177',,
3.334299,*,,
3.334559,'160',,
3.334819,'0',,
3.335079,\n,,
3.335339,'0',,
3.335599,'1',,
3.335859,h,,
3.336119,'28',,
3.336379,'208',,
3.336639,'15',,
3.336899,'200',,
3.337159,'23',,
3.337419,'0',,
3.33768,'0',,
3.33794,'0',,
3.3382,'0',,
3.33846,'0',,
3.33872,'169',,
3.33898,'154',,
3.33924,a,,
3.3395,'143',,
3.33976,'160',,
3.34002,'128',,
3.34028,'0',,
3.34054,'1',,
3.3408,'8',,
3.34106,'30',,
3.34132,'4',,
3.34158,'8',,
3.633202,L,,
3.633462,C,,
3.633722,S,,
3.633982,A,,
3.634242,'177',,
3.634502,*,,
3.634762,'160',,
3.635022,'0',,
3.635282,\n,,
3.635542,'0',,
3.635802,'1',,
3.636063,h,,
3.636323,'28',,
3.636583,'208',,
3.636843,'15',,
3.637103,'200',,
3.637363,'23',,
3.637623,'0',,
3.637883,'0',,
3.638143,'0',,
3.638403,'0',,
3.638663,'0',,
3.638923,'169',,
3.639183,'154',,
3.639443,a,,
3.639703,'143',,
3.639963,'160',,
3.640223,'128',,
3.640483,'0',,
3.640743,'1',,
3.641003,'8',,
3.641263,'30',,
3.641523,'4',,
3.641783,'8',,
3.664992,L,,
3.665252,C,,
3.665512,S,,
3.665772,A,,
3.666032,'161',,
3.666292,*,,
3.666552,'160',,
3.666812,'0',,
3.667072,\n,,
3.667332,'0',,
3.667592,'1',,
3.667852,h,,
3.668112,'28',,
3.668372,'208',,
3.668632,'15',,
3.668892,'200',,
3.669152,'23',,
3.669412,'0',,
3.669672,'0',,
3.669933,'0',,
3.670193,'0',,
3.670453,'0',,
3.670713,'169',,
3.670973,'154',,
3.671233,a,,
3.671493,'143',,
3.671753,'160',,
3.672013,'128',,
3.672273,'0',,
3.672533,'1',,
3.672793,'225',,
3.673053,'4',,
3.673313,'4',,
3.673573,'8',,
3.933061,L,,
3.933321,C,,
3.933581,S,,
3.933841,A,,
3.934101,'161',,
3.934361,*,,
3.934621,'160',,
3.934881,'0',,
3.935141,\n,,
3.935401,'0',,
3.935661,'1',,
3.935921,h,,
3.936181,'28',,
3.936441,'208',,
3.936701,'15',,
3.936961,'200',,
3.937221,'23',,
3.937481,'0',,
3.937741,'0',,
3.938001,'0',,
3.938261,'0',,
3.938521,'0',,
3.938781,'169',,
3.939042,'154',,
3.939302,a,,
3.939562,'143',,
3.939822,'160',,
3.940082,'128',,
3.940342,'0',,
3.940602,'1',,
3.940862,'225',,
3.941122,'4',,
3.941382,'4',,
3.941642,'8',,
4.233262,L,,
4.233522,C,,
4.233783,S,,
4.234043,A,,
4.234303,'161',,
4.234563,*,,
4.234823,'160',,
4.235083,'0',,
4.235343,\n,,
4.235603,'0',,
4.235863,'1',,
4.236123,h,,
4.236383,'28',,
4.236643,'208',,
4.236903,'15',,
4.237163,'200',,
4.237423,'23',,
4.237683,'0',,
4.237943,'0',,
4.238203,'0',,
4.238463,'0',,
4.238723,'0',,
4.238983,'169',,
4.239243,'154',,
4.239503,a,,
4.239763,'143',,
4.240023,'160',,
4.240283,'128',,
4.240543,'0',,
4.240803,'1',,
4.241063,'225',,
4.241323,'4',,
4.241583,'4',,
4.241843,'8',,
4.533118,L,,
4.533378,C,,
4.533638,S,,
4.533898,A,,
4.534158,'161',,
4.534418,*,,
4.534678,'160',,
4.534938,'0',,
4.535198,\n,,
4.535458,'0',,
4.535718,'1',,
4.535978,h,,
4.536238,'28',,
4.536498,'208',,
4.536758,'15',,
4.537018,'200',,
4.537278,'23',,
4.537538,'0',,
4.537798,'0',,
4.538058,'0',,
4.538318,'0',,
4.538578,'0',,
4.538838,'169',,
4.539098,'154',,
4.539358,a,,
4.539618,'143',,
4.539879,'160',,
4.540139,'128',,
4.540399,'0',,
4.540659,'1',,
4.540919,'225',,
4.541179,'4',,
4.541439,'4',,
4.541699,'8',,
4.833319,L,,
4.833579,C,,
4.833839,S,,
4.834099,A,,
4.834359,'161',,
4.83462,*,,
4.83488,'160',,
4.83514,'0',,
4.8354,\n,,
4.83566,'0',,
4.83592,'1',,
4.83618,h,,
4.83644,'28',,
4.8367,'208',,
4.83696,'15',,
4.83722,'200',,
4.83748,'23',,
4.83774,'0',,
4.838,'0',,
4.83826,'0',,
4.83852,'0',,
4.83878,'0',,
4.83904,'169',,
4.8393,'154',,
4.83956,a,,
4.83982,'143',,
4.84008,'160',,
4.84034,'128',,
4.8406,'0',,
4.84086,'1',,
4.84112,'225',,
4.84138,'4',,
4.84164,'4',,
4.8419,'8',,
5.095486,L,,
5.095746,C,,
5.096006,S,,
5.096266,A,,
5.096526,'8',,
5.096786,\n,,
5.097046,'160',,
5.097306,'0',,
5.097566,\n,,
5.097826,'0',,
5.098086,'1',,
5.098346,h,,
5.098606,'28',,
5.098866,'208',,
5.099126,'15',,
5.099386,'200',,
5.099646,'23',,
5.099906,'0',,
5.100166,'0',,
5.100426,'0',,
5.100686,'0',,
5.100946,'0',,
5.101206,'169',,
5.101466,'154',,
5.101726,a,,
5.101986,'143',,
5.102246,'160',,
5.102506,'128',,
5.102766,'161',,
5.103026,'129',,
5.103286,'168',,
5.103546,K,,
5.103807,'4',,
5.104067,'8',,
5.133191,L,,
5.133451,C,,
5.133711,S,,
5.133971,A,,
5.134231,'8',,
5.134491,\n,,
5.134751,'160',,
5.135011,'0',,
5.135271,\n,,
5.135531,'0',,
5.135791,'1',,
5.136051,h,,
5.136311,'28',,
5.136571,'208',,
5.136831,'15',,
5.137091,'200',,
5.137352,'23',,
5.137612,'0',,
5.137872,'0',,
5.138132,'0',,
5.138392,'0',,
5.138652,'0',,
5.138912,'169',,
5.139172,'154',,
5.139432,a,,
5.139692,'143',,
5.139952,'160',,
5.140212,'128',,
5.140472,'161',,
5.140732,'129',,
5.140992,'168',,
5.141252,K,,
5.141512,'4',,
5.141772,'8',,
5.433391,L,,
5.433651,C,,
5.433911,S,,
5.434171,A,,
5.434431,'8',,
5.434691,\n,,
5.434951,'160',,
5.435211,'0',,
5.435471,\n,,
5.435731,'0',,
5.435991,'1',,
5.436251,h,,
5.436511,'28',,
5.436771,'208',,
5.437031,'15',,
5.437291,'200',,
5.437551,'23',,
5.437811,'0',,
5.438071,'0',,
5.438331,'0',,
5.438591,'0',,
5.438851,'0',,
5.439112,'169',,
5.439372,'154',,
5.439632,a,,
5.439892,'143',,
5.440152,'160',,
5.440412,'128',,
5.440672,'161',,
5.440932,'129',,
5.441192,'168',,
5.441452,K,,
5.441712,'4',,
5.441972,'8',,
5.733248,L,,
5.733508,C,,
5.733768,S,,
5.734028,A,,
5.734288,'8',,
5.734548,\n,,
5.734808,'160',,
5.735068,'0',,
5.735328,\n,,
5.735588,'0',,
5.735848,'1',,
5.736108,h,,
5.736368,'28',,
5.736628,'208',,
5.736888,'15',,
5.737148,'200',,
5.737408,'23',,
5.737668,'0',,
5.737928,'0',,
5.738189,'0',,
5.738449,'0',,
5.738709,'0',,
5.738969,'169',,
5.739229,'154',,
5.739489,a,,
5.739749,'143',,
5.740009,'160',,
5.740269,'128',,
